iter,PID,start,end,instance,activation
0,12058,954.445160540,954.445162716,193,1
1,12058,954.448281155,954.448284067,193,0
2,12058,954.452142978,954.452144354,193,0
3,12058,954.456048259,954.456049859,193,0
4,12058,954.459953572,954.459954852,193,0
5,12058,954.463859940,954.463861445,193,0
6,12058,954.467764325,954.467765605,193,0
7,12058,954.471670662,954.471672166,193,0
8,12058,954.475600391,954.475601927,193,0
9,12058,954.479484103,954.479485703,193,0
10,12058,954.483403753,954.483405385,193,0
11,12058,954.487296297,954.487297833,193,0
12,12058,954.491201610,954.491203146,193,0
13,12058,954.495110250,954.495111466,193,0
14,12058,954.499016139,954.499017995,193,0
15,12058,954.502921836,954.502923020,193,0
16,12058,954.506827085,954.506828429,193,0
17,12058,954.510733293,954.510734541,193,0
18,12058,954.514637870,954.514639150,193,0
19,12058,954.518641234,954.518643666,193,0
20,12058,954.522451888,954.522453168,193,0
21,12058,954.526361520,954.526363184,193,0
22,12058,954.530290450,954.530293810,193,0
23,12058,954.534181874,954.534183378,193,0
24,12058,954.538078931,954.538081011,193,0
25,12058,954.541990836,954.553010623,194,1
26,12058,954.553040576,954.553042496,194,0
27,12058,954.556962465,954.556964513,194,0
28,12058,954.560865442,954.560866850,194,0
29,12058,954.564776610,954.564777859,194,0
30,12058,954.568679587,954.568680899,194,0
31,12058,954.572588100,954.572589828,194,0
32,12058,954.576493701,954.576495333,194,0
33,12058,954.580403046,954.580404390,194,0
34,12058,954.584304038,954.584305574,194,0
35,12058,954.588213191,954.588214599,194,0
36,12058,954.592118472,954.592119976,194,0
37,12058,954.596118315,954.596119499,194,0
38,12058,954.599946026,954.599947562,194,0
39,12058,954.603852714,954.603854282,194,0
40,12058,954.607741195,954.607742827,194,0
41,12058,954.611648171,954.611649515,194,0
42,12058,954.615555084,954.615556652,194,0
43,12058,954.619463117,954.619464429,194,0
44,12058,954.623365581,954.623366958,194,0
45,12058,954.627317744,954.627321040,194,0
46,12058,954.631187055,954.631189583,194,0
47,12058,954.635110129,954.635113745,194,0
48,12058,954.639098676,954.652516366,195,1
49,12058,954.652553903,954.652555984,195,0
50,12058,954.656488113,954.656491793,195,0
51,12058,954.660393330,954.660395186,195,0
52,12058,954.664344596,954.664346580,195,0
53,12058,954.668200595,954.668203091,195,0
54,12058,954.672102452,954.672104436,195,0
55,12058,954.676037013,954.676038837,195,0
56,12058,954.679912149,954.679913845,195,0
57,12058,954.683819062,954.683820182,195,0
58,12058,954.687725687,954.687727383,195,0
59,12058,954.691629207,954.691630807,195,0
60,12058,954.695536088,954.695537560,195,0
61,12058,954.699448825,954.699450553,195,0
62,12058,954.703350170,954.703351706,195,0
63,12058,954.707256378,954.707258010,195,0
64,12058,954.711163387,954.711164667,195,0
65,12058,954.715069724,954.715070972,195,0
66,12058,954.718974685,954.718976093,195,0
67,12058,954.722880477,954.722881917,195,0
68,12058,954.726795102,954.726806559,195,0
69,12058,954.730697343,954.730699839,195,0
70,12058,954.734691235,954.734692707,195,0
71,12058,954.738507392,954.738509312,195,0
72,12058,954.742413089,954.755904286,196,1
73,12058,954.755972832,954.755976128,196,0
74,12058,954.759908770,954.759912290,196,0
75,12058,954.763803842,954.763805954,196,0
76,12058,954.767715395,954.767717443,196,0
77,12058,954.771616035,954.771617572,196,0
78,12058,954.775522084,954.775523684,196,0
79,12058,954.779423973,954.779425989,196,0
80,12058,954.783334854,954.783336710,196,0
81,12058,954.787244647,954.787246631,196,0
82,12058,954.791145063,954.791146279,196,0
83,12058,954.795056456,954.795058600,196,0
84,12058,954.798957577,954.798959017,196,0
85,12058,954.802864681,954.802866409,196,0
86,12058,954.806778090,954.806781738,196,0
87,12058,954.810675755,954.810678123,196,0
88,12058,954.814578667,954.814579755,196,0
89,12058,954.818487596,954.818489484,196,0
90,12058,954.822392173,954.822393933,196,0
91,12058,954.826304526,954.826306414,196,0
92,12058,954.830224239,954.830227663,196,0
93,12058,954.834125328,954.834129136,196,0
94,12058,954.838018800,954.838020656,196,0
95,12058,954.841924881,954.855039073,197,1
96,12058,954.855068866,954.855070306,197,0
97,12058,954.858991043,954.858992867,197,0
98,12058,954.862896804,954.862898468,197,0
99,12058,954.866818693,954.866820069,197,0
100,12058,954.870724038,954.870725574,197,0
101,12058,954.874624806,954.874626118,197,0
102,12058,954.878520103,954.878521511,197,0
103,12058,954.882428520,954.882429928,197,0
104,12058,954.886332392,954.886333640,197,0
105,12058,954.890236297,954.890237641,197,0
106,12058,954.894146186,954.894148042,197,0
107,12058,954.898052395,954.898053835,197,0
108,12058,954.901958251,954.901959595,197,0
109,12058,954.905863628,954.905864940,197,0
110,12058,954.909770989,954.909772461,197,0
111,12058,954.913677454,954.913678734,197,0
112,12058,954.917581902,954.917583214,197,0
113,12058,954.921490511,954.921492111,197,0
114,12058,954.925631768,954.925634776,197,0
115,12058,954.929361874,954.929365587,197,0
116,12058,954.933224690,954.933228338,197,0
117,12058,954.937119602,954.951952603,198,1
118,12058,954.951984892,954.951986556,198,0
119,12058,954.955905661,954.955907037,198,0
120,12058,954.959811550,954.959812798,198,0
121,12058,954.963718751,954.963720127,198,0
122,12058,954.967624160,954.967625920,198,0
123,12058,954.971530144,954.971531840,198,0
124,12058,954.975434977,954.975436385,198,0
125,12058,954.979343618,954.979345314,198,0
126,12058,954.983251171,954.983252579,198,0
127,12058,954.987156323,954.987157539,198,0
128,12058,954.991069476,954.991070660,198,0
129,12058,954.994967461,954.994968773,198,0
130,12058,954.998875141,954.998876806,198,0
131,12058,955.002784102,955.002785446,198,0
132,12058,955.006685799,955.006687335,198,0
133,12058,955.010591784,955.010593288,198,0
134,12058,955.014500104,955.014501672,198,0
135,12058,955.018405545,955.018407241,198,0
136,12058,955.022315338,955.022316746,198,0
137,12058,955.026221131,955.026223147,198,0
138,12058,955.030160845,955.030164621,198,0
139,12058,955.034036940,955.034039212,198,0
140,12058,955.037938669,955.051124960,199,1
141,12058,955.051163905,955.051166209,199,0
142,12058,955.055086050,955.055088514,199,0
143,12058,955.058991459,955.058992931,199,0
144,12058,955.062898788,955.062900100,199,0
145,12058,955.066802948,955.066804292,199,0
146,12058,955.070710501,955.070712229,199,0
147,12058,955.074615078,955.074616422,199,0
148,12058,955.078534343,955.078536263,199,0
