iter,PID,start,end,instance,activation
0,12056,954.354959998,954.354961694,192,1
1,12056,954.359162600,954.359164008,192,0
2,12056,954.363364339,954.363366067,192,0
3,12056,954.367566141,954.367567869,192,0
4,12056,954.371767624,954.371769608,192,0
5,12056,954.375970002,954.375971571,192,0
6,12056,954.380173021,954.380174333,192,0
7,12056,954.384374408,954.384375848,192,0
8,12056,954.388584242,954.388595603,192,0
9,12056,954.392779677,954.392782077,192,0
10,12056,954.396978503,954.396980103,192,0
11,12056,954.401178674,954.401180306,192,0
12,12056,954.405384605,954.405386365,192,0
13,12056,954.409583527,954.409585319,192,0
14,12056,954.413785234,954.413787314,192,0
15,12056,954.417982940,954.417984156,192,0
16,12056,954.422189447,954.422190471,192,0
17,12056,954.426400178,954.426403794,192,0
18,12056,954.430598204,954.436687749,193,1
19,12056,954.436725510,954.436728326,193,0
20,12056,954.439001009,954.439003473,193,0
21,12056,954.443227260,954.443230108,193,0
22,12056,954.447399334,954.447401414,193,0
23,12056,954.451602128,954.451605009,193,0
24,12056,954.455801947,954.455804411,193,0
25,12056,954.460026246,954.460027942,193,0
26,12056,954.464212464,954.464215472,193,0
27,12056,954.468479197,954.468481661,193,0
28,12056,954.472608389,954.472610213,193,0
29,12056,954.476810191,954.476811855,193,0
30,12056,954.481012378,954.481014330,193,0
31,12056,954.485214820,954.485216772,193,0
32,12056,954.489415663,954.489417583,193,0
33,12056,954.493617721,954.493619417,193,0
34,12056,954.497823492,954.497826020,193,0
35,12056,954.502021134,954.502023054,193,0
36,12056,954.506223001,954.506225177,193,0
37,12056,954.510425827,954.510444100,193,0
38,12056,954.514625422,954.514626990,193,0
39,12056,954.518826744,954.518827832,193,0
40,12056,954.523048515,954.523049731,193,0
41,12056,954.527235053,954.527237069,193,0
42,12056,954.531466521,954.531471897,193,0
43,12056,954.535642370,954.541356863,194,1
44,12056,954.541389760,954.541391328,194,0
45,12056,954.544037591,954.544039863,194,0
46,12056,954.548240546,954.548243202,194,0
47,12056,954.552450956,954.552453548,194,0
48,12056,954.556659031,954.556660951,194,0
49,12056,954.560844033,954.560845729,194,0
50,12056,954.565044907,954.565045931,194,0
51,12056,954.569245014,954.569246134,194,0
52,12056,954.573451136,954.573452544,194,0
53,12056,954.577666123,954.577668075,194,0
54,12056,954.581851605,954.581853397,194,0
55,12056,954.586054400,954.586055456,194,0
56,12056,954.590255082,954.590256842,194,0
57,12056,954.594457397,954.594458997,194,0
58,12056,954.598658335,954.598659807,194,0
59,12056,954.602870890,954.602874282,194,0
60,12056,954.607062452,954.607063988,194,0
61,12056,954.611264863,954.611266879,194,0
62,12056,954.615466409,954.615467977,194,0
63,12056,954.619668916,954.619671540,194,0
64,12056,954.623869534,954.623871166,194,0
65,12056,954.628094505,954.628100202,194,0
66,12056,954.632279699,954.637870348,195,1
67,12056,954.637901325,954.637903277,195,0
68,12056,954.640692009,954.640707305,195,0
69,12056,954.644896563,954.644899955,195,0
70,12056,954.649081469,954.649084573,195,0
71,12056,954.653297032,954.653300872,195,0
72,12056,954.657499698,954.657503155,195,0
73,12056,954.661712413,954.661717373,195,0
74,12056,954.665887047,954.665888775,195,0
75,12056,954.670094066,954.670097330,195,0
76,12056,954.674292988,954.674294812,195,0
77,12056,954.678494054,954.678495814,195,0
78,12056,954.682693361,954.682694929,195,0
79,12056,954.686894299,954.686896315,195,0
80,12056,954.691094598,954.691096454,195,0
81,12056,954.695295184,954.695296208,195,0
82,12056,954.699506171,954.699508347,195,0
83,12056,954.703702021,954.703704133,195,0
84,12056,954.707903312,954.707905712,195,0
85,12056,954.712106074,954.712107706,195,0
86,12056,954.716306885,954.716308453,195,0
87,12056,954.720511119,954.720512527,195,0
88,12056,954.724707641,954.724708986,195,0
89,12056,954.728917348,954.728920420,195,0
90,12056,954.733139663,954.738783145,196,1
91,12056,954.738820971,954.738823083,196,0
92,12056,954.741520836,954.741523300,196,0
93,12056,954.745717582,954.745719630,196,0
94,12056,954.749938969,954.749942041,196,0
95,12056,954.754128931,954.754132099,196,0
96,12056,954.758332366,954.758334094,196,0
97,12056,954.762525432,954.762527512,196,0
98,12056,954.766725218,954.766727202,196,0
99,12056,954.770927853,954.770929485,196,0
100,12056,954.775129559,954.775130583,196,0
101,12056,954.779331042,954.779332514,196,0
102,12056,954.783532972,954.783534476,196,0
103,12056,954.787734327,954.787735287,196,0
104,12056,954.791936705,954.791938369,196,0
105,12056,954.796138604,954.796140076,196,0
106,12056,954.800368951,954.800370103,196,0
107,12056,954.804542753,954.804544289,196,0
108,12056,954.808745067,954.808747307,196,0
109,12056,954.812946678,954.812948566,196,0
110,12056,954.817150592,954.817152416,196,0
111,12056,954.821347275,954.821348843,196,0
112,12056,954.825559061,954.825561461,196,0
113,12056,954.829777024,954.829782049,196,0
114,12056,954.833956234,954.839571267,197,1
115,12056,954.839597156,954.839598756,197,0
116,12056,954.842361247,954.842364511,197,0
117,12056,954.846558537,954.846561386,197,0
118,12056,954.850758804,954.850760180,197,0
119,12056,954.855063106,954.855071490,197,0
120,12056,954.859164329,954.859166025,197,0
121,12056,954.863366451,954.863368403,197,0
122,12056,954.867591743,954.867592895,197,0
123,12056,954.871766536,954.871768200,197,0
124,12056,954.875970419,954.875972179,197,0
125,12056,954.880172541,954.880173885,197,0
126,12056,954.884374664,954.884376296,197,0
127,12056,954.888575474,954.888576722,197,0
128,12056,954.892781629,954.892783805,197,0
129,12056,954.896980903,954.896983463,197,0
130,12056,954.901182546,954.901184530,197,0
131,12056,954.905445758,954.905447550,197,0
132,12056,954.909582823,954.909584615,197,0
133,12056,954.913784273,954.913785713,197,0
134,12056,954.917984379,954.917985500,197,0
135,12056,954.922188262,954.922189734,197,0
136,12056,954.926395665,954.926397585,197,0
137,12056,954.930607196,954.935815303,198,1
138,12056,954.935851912,954.935853448,198,0
139,12056,954.938996944,954.938999728,198,0
140,12056,954.943199995,954.943203067,198,0
141,12056,954.947401733,954.947404325,198,0
142,12056,954.951601935,954.951603792,198,0
143,12056,954.955801754,954.955803098,198,0
144,12056,954.960046982,954.960048678,198,0
145,12056,954.964204463,954.964206383,198,0
146,12056,954.968405785,954.968407001,198,0
147,12056,954.972607620,954.972609412,198,0
148,12056,954.976809710,954.976811342,198,0
149,12056,954.981028761,954.981030713,198,0
150,12056,954.985213827,954.985215363,198,0
151,12056,954.989412302,954.989413710,198,0
152,12056,954.993616984,954.993618616,198,0
153,12056,954.997817795,954.997818883,198,0
154,12056,955.002023373,955.002025517,198,0
155,12056,955.006239512,955.006240888,198,0
156,12056,955.010423010,955.010424194,198,0
157,12056,955.014625325,955.014627117,198,0
158,12056,955.018827447,955.018829143,198,0
159,12056,955.023029890,955.023031554,198,0
160,12056,955.027233836,955.027236140,198,0
161,12056,955.031522809,955.036994414,199,1
162,12056,955.037033935,955.037036367,199,0
163,12056,955.039835595,955.039837292,199,0
164,12056,955.044057143,955.044060375,199,0
165,12056,955.048327587,955.048329763,199,0
166,12056,955.052440395,955.052441643,199,0
167,12056,955.056672118,955.056675190,199,0
168,12056,955.060845024,955.060846944,199,0
169,12056,955.065046666,955.065048490,199,0
170,12056,955.069247509,955.069249461,199,0
171,12056,955.073451839,955.073453791,199,0
172,12056,955.077650698,955.077652362,199,0
173,12056,955.081850868,955.081852180,199,0
174,12056,955.086059359,955.086060991,199,0
175,12056,955.090254761,955.090257065,199,0
176,12056,955.094458740,955.094460628,199,0
177,12056,955.098659806,955.098661502,199,0
178,12056,955.102860905,955.102862473,199,0
179,12056,955.107062483,955.107063891,199,0
180,12056,955.111263102,955.111264606,199,0
181,12056,955.115465224,955.115466632,199,0
182,12056,955.119667347,955.119669171,199,0
183,12056,955.123870141,955.123871965,199,0
184,12056,955.128100648,955.128105417,199,0
185,12056,955.132276050,955.137288631,200,1
186,12056,955.137316664,955.137318328,200,0
187,12056,955.140678151,955.140680423,200,0
188,12056,955.144888146,955.144891282,200,0
189,12056,955.149080060,955.149083676,200,0
190,12056,955.153289863,955.153293095,200,0
191,12056,955.157485073,955.157487793,200,0
192,12056,955.161686427,955.161688443,200,0
193,12056,955.165885798,955.165887462,200,0
194,12056,955.170089168,955.170090896,200,0
195,12056,955.174289435,955.174291163,200,0
196,12056,955.178490405,955.178492101,200,0
197,12056,955.182692560,955.182694608,200,0
198,12056,955.186893050,955.186894266,200,0
199,12056,955.191096773,955.191098949,200,0
200,12056,955.195300623,955.195302863,200,0
201,12056,955.199501626,955.199503322,200,0
202,12056,955.203716133,955.203717765,200,0
203,12056,955.207902479,955.207903887,200,0
204,12056,955.212104377,955.212106105,200,0
205,12056,955.216307396,955.216308868,200,0
206,12056,955.220510542,955.220512366,200,0
207,12056,955.224709144,955.224710521,200,0
208,12056,955.228916995,955.228919907,200,0
