iter,PID,start,end,instance,activation
0,11686,935.124659419,935.125200781,0,1
1,11686,935.224660646,935.225208632,1,1
2,11686,935.324656944,935.325212131,2,1
3,11686,935.424657883,935.425195245,3,1
4,11686,935.524647396,935.525261016,4,1
5,11686,935.624658284,935.625206111,5,1
6,11686,935.724652404,935.725161413,6,1
7,11686,935.824661629,935.825221328,7,1
8,11686,935.924647557,935.925180375,8,1
9,11686,936.024647054,936.025170271,9,1
10,11686,936.124654326,936.125193576,10,1
11,11686,936.224650718,936.225038379,11,1
12,11686,936.324660679,936.325028915,12,1
13,11686,936.424651279,936.425056477,13,1
14,11686,936.524660342,936.525063108,14,1
15,11686,936.624662620,936.625070090,15,1
16,11686,936.724659170,936.725074128,16,1
17,11686,936.824663433,936.825083191,17,1
18,11686,936.924666415,936.925075580,18,1
19,11686,937.024661045,937.025110564,19,1
20,11686,937.124663867,937.125070696,20,1
21,11686,937.224670817,937.225119248,21,1
22,11686,937.324663719,937.325079573,22,1
23,11686,937.424672557,937.425102108,23,1
24,11686,937.524672018,937.525156482,24,1
25,11686,937.624687382,937.625116964,25,1
26,11686,937.724674585,937.725135049,26,1
27,11686,937.824668157,937.825076267,27,1
28,11686,937.924678497,937.925099599,28,1
29,11686,938.024662149,938.025072082,29,1
30,11686,938.124651784,938.125053077,30,1
31,11686,938.224645548,938.225009592,31,1
32,11686,938.324644527,938.324989147,32,1
33,11686,938.424660884,938.425032256,33,1
34,11686,938.524693975,938.525100324,34,1
35,11686,938.624677464,938.625121095,35,1
36,11686,938.724652121,938.725007621,36,1
37,11686,938.824649370,938.825061896,37,1
38,11686,938.924662268,938.925030088,38,1
39,11686,939.024664510,939.025198320,39,1
40,11686,939.124653119,939.125154480,40,1
41,11686,939.224664161,939.225210291,41,1
42,11686,939.324664035,939.325191028,42,1
43,11686,939.424661540,939.425180533,43,1
44,11686,939.524651204,939.525203318,44,1
45,11686,939.624651267,939.625239574,45,1
46,11686,939.724666563,939.725180084,46,1
47,11686,939.824656802,939.825222869,47,1
48,11686,939.924651233,939.925218036,48,1
49,11686,940.024665825,940.025243892,49,1
50,11686,940.124654752,940.125189105,50,1
51,11686,940.224653983,940.225198705,51,1
52,11686,940.324655742,940.325202449,52,1
53,11686,940.424654462,940.425166063,53,1
54,11686,940.524649243,940.525164460,54,1
55,11686,940.624648088,940.625210763,55,1
56,11686,940.724649461,940.725184967,56,1
57,11686,940.824654099,940.825203845,57,1
58,11686,940.924652464,940.925201442,58,1
59,11686,941.024654253,941.025194591,59,1
60,11686,941.124653834,941.125196060,60,1
61,11686,941.224654343,941.225177400,61,1
62,11686,941.324653828,941.325200886,62,1
63,11686,941.424651553,941.425213876,63,1
64,11686,941.524655613,941.525208719,64,1
