iter,PID,start,end,instance,activation
0,12487,962.360193029,962.370069130,0,0
1,12487,962.415772966,962.423181145,0,0
2,12487,962.471316484,962.489168526,0,0
3,12487,962.527583962,962.550176703,0,1
4,12487,962.582427617,962.585465989,0,1
5,12487,962.638044706,962.638809147,0,1
6,12487,962.693582847,962.696099058,0,1
7,12487,962.751145888,962.752339591,0,1
8,12487,962.804760639,962.806631516,0,1
9,12487,962.860208601,962.862001684,0,1
10,12487,962.916171077,962.916956863,0,1
11,12487,962.971484540,962.973366618,0,1
12,12487,963.027018650,963.027742193,0,1
13,12487,963.082426835,963.084687037,0,1
14,12487,963.138035443,963.138687145,0,1
15,12487,963.193544560,963.195921950,0,1
16,12487,963.249097903,963.249770149,0,1
17,12487,963.304652877,963.306579564,0,1
18,12487,963.360207275,963.360904002,0,1
19,12487,963.415761642,963.418107255,0,1
20,12487,963.471316040,963.472117122,0,1
21,12487,963.526882053,963.528899176,0,1
22,12487,963.582426531,963.583147770,0,1
23,12487,963.638054946,963.639704952,0,1
24,12487,963.693554398,963.694305911,0,1
25,12487,963.749101051,963.750784754,0,1
26,12487,963.804649592,963.806327695,0,1
27,12487,963.860212246,963.861105011,0,1
28,12487,963.915761235,963.917466539,0,1
29,12487,963.971316753,963.971991335,0,1
30,12487,964.026885838,964.028592294,0,1
31,12487,964.082427787,964.083116930,0,1
32,12487,964.138006506,964.139650495,0,1
33,12487,964.193545062,964.194238109,0,1
34,12487,964.252276556,964.253983364,0,1
35,12487,964.304655713,964.305357624,0,1
36,12487,964.360209791,964.361941943,0,1
37,12487,964.416046277,964.416697947,0,1
38,12487,964.472407581,964.474038322,0,1
39,12487,964.526900182,964.527555276,0,1
40,12487,964.582440082,964.584396754,0,1
41,12487,964.640869389,964.641517602,0,1
42,12487,964.693547499,964.695249634,0,1
43,12487,964.752310000,964.752984998,0,1
44,12487,964.804660292,964.805334170,0,1
45,12487,964.864052830,964.865813271,0,1
46,12487,964.915771836,964.917521334,0,1
47,12487,964.971674148,964.973818762,0,1
48,12487,965.028038875,965.028692112,0,1
49,12487,965.084224908,965.085938564,0,1
50,12487,965.140050737,965.140727624,0,1
51,12487,965.193555019,965.195283907,0,1
52,12487,965.252209933,965.252885539,0,1
53,12487,965.304660227,965.306448926,0,1
54,12487,965.364058749,965.364754612,0,1
55,12487,965.415759676,965.417519541,0,1
56,12487,965.471822920,965.472543872,0,1
57,12487,965.527260192,965.530087676,0,1
58,12487,965.583424623,965.584944929,0,1
59,12487,965.640360951,965.642002541,0,1
60,12487,965.693549765,965.695306527,0,1
61,12487,965.750036223,965.750685844,0,1
62,12487,965.804819009,965.806485368,0,1
63,12487,965.860249529,965.860892814,0,1
64,12487,965.915779475,965.917684178,0,1
65,12487,965.971314734,965.971966915,0,1
66,12487,966.028728742,966.030412477,0,1
67,12487,966.082758160,966.083364387,0,1
68,12487,966.138616021,966.140563925,0,1
69,12487,966.193774051,966.194419480,0,1
70,12487,966.249745676,966.251597161,0,1
71,12487,966.304667699,966.305306248,0,1
72,12487,966.360944550,966.362630461,0,1
73,12487,966.416297851,966.416960016,0,1
74,12487,966.471315908,966.473060509,0,1
75,12487,966.527501843,966.528473107,0,1
76,12487,966.582494331,966.584549694,0,1
77,12487,966.640686251,966.641439716,0,1
78,12487,966.696181540,966.697813913,0,1
79,12487,966.750914851,966.751548056,0,1
80,12487,966.804722885,966.806488766,0,1
81,12487,966.860213309,966.860851986,0,1
82,12487,966.915992830,966.917859164,0,1
83,12487,966.971320721,966.971982471,0,1
84,12487,967.028056466,967.029783339,0,1
85,12487,967.082424646,967.083045594,0,1
86,12487,967.137985120,967.139770683,0,1
87,12487,967.193647902,967.194756963,0,1
88,12487,967.249093365,967.250790701,0,1
89,12487,967.304669712,967.305486283,0,1
90,12487,967.360206986,967.361968836,0,1
91,12487,967.415764004,967.416498684,0,1
92,12487,967.471316926,967.473194748,0,1
93,12487,967.526904153,967.527579663,0,1
94,12487,967.582426353,967.584335727,0,1
95,12487,967.638354230,967.638962442,0,1
96,12487,967.693543684,967.695373120,0,1
97,12487,967.749452265,967.750112254,0,1
98,12487,967.804658487,967.806548789,0,1
99,12487,967.860219440,967.861884199,0,1
100,12487,967.915763817,967.916659943,0,1
101,12487,967.971317443,967.972237409,0,1
102,12487,968.026882812,968.028969697,0,1
103,12487,968.082427061,968.083160397,0,1
104,12487,968.138049489,968.139707783,0,1
105,12487,968.193546920,968.194207966,0,1
106,12487,968.249245318,968.249867771,0,1
107,12487,968.304653403,968.306607803,0,1
108,12487,968.360207412,968.361582849,0,1
109,12487,968.415760494,968.417657420,0,1
110,12487,968.471321735,968.472243429,0,1
111,12487,968.526911360,968.529015909,0,1
112,12487,968.582427127,968.583423864,0,1
113,12487,968.638141717,968.639905614,0,1
114,12487,968.693547400,968.694472231,0,1
115,12487,968.749615441,968.751258279,0,1
116,12487,968.804651065,968.805657818,0,1
117,12487,968.860221074,968.860876199,0,1
118,12487,968.915758313,968.916716361,0,1
119,12487,968.971315106,968.973753106,0,1
120,12487,969.026901435,969.027547312,0,1
121,12487,969.082631929,969.084799552,0,1
122,12487,969.137988075,969.138573886,0,1
123,12487,969.193566276,969.195257436,0,1
124,12487,969.250012762,969.250675952,0,1
125,12487,969.304791673,969.306639477,0,1
126,12487,969.360256846,969.361491255,0,1
127,12487,969.415825191,969.417668899,0,1
128,12487,969.471375967,969.472260572,0,1
129,12487,969.527653230,969.530139551,0,1
130,12487,969.582579953,969.583397067,0,1
131,12487,969.638792894,969.639407026,0,1
132,12487,969.693537339,969.695313973,0,1
133,12487,969.749814378,969.750476767,0,1
134,12487,969.804660010,969.806418947,0,1
135,12487,969.860205025,969.860845526,0,1
136,12487,969.916066850,969.917703320,0,1
137,12487,969.971319024,969.972546616,0,1
138,12487,970.027912297,970.030458204,0,1
139,12487,970.082645414,970.083345596,0,1
140,12487,970.138870099,970.140667342,0,1
141,12487,970.193770293,970.194501421,0,1
142,12487,970.250371630,970.252559670,0,1
143,12487,970.304646108,970.305450646,0,1
144,12487,970.360209876,970.361901291,0,1
145,12487,970.415761707,970.416951154,0,1
146,12487,970.471317474,970.473083387,0,1
147,12487,970.527071423,970.527750069,0,1
148,12487,970.582429327,970.583204392,0,1
149,12487,970.638633946,970.640415765,0,1
150,12487,970.693536219,970.694281268,0,1
151,12487,970.749099730,970.750816042,0,1
152,12487,970.804650280,970.805643145,0,1
153,12487,970.860227968,970.861959384,0,1
154,12487,970.915764533,970.916689652,0,1
155,12487,970.971323724,970.973219082,0,1
156,12487,971.028058025,971.029310546,0,1
157,12487,971.082426809,971.084264437,0,1
158,12487,971.138415165,971.140233688,0,1
159,12487,971.193540485,971.194245084,0,1
160,12487,971.249145662,971.250873942,0,1
161,12487,971.304650866,971.305325096,0,1
162,12487,971.360230794,971.362008996,0,1
163,12487,971.415760255,971.416592666,0,1
164,12487,971.471322645,971.473133520,0,1
165,12487,971.526934157,971.527579202,0,1
166,12487,971.582428288,971.583226778,0,1
167,12487,971.638193276,971.639886548,0,1
168,12487,971.693536939,971.695228258,0,1
169,12487,971.749108609,971.749793303,0,1
170,12487,971.804650806,971.805682008,0,1
171,12487,971.860428019,971.862233933,0,1
172,12487,971.915765089,971.917638814,0,1
173,12487,971.971326295,971.972290614,0,1
174,12487,972.026942222,972.029065363,0,1
175,12487,972.082427425,972.083126808,0,1
176,12487,972.137988183,972.139668366,0,1
177,12487,972.193537228,972.194210210,0,1
178,12487,972.249777368,972.251406349,0,1
179,12487,972.304652215,972.305373967,0,1
180,12487,972.360204428,972.361141227,0,1
181,12487,972.415766434,972.418005483,0,1
182,12487,972.471320151,972.472151794,0,1
183,12487,972.526878956,972.528895117,0,1
184,12487,972.582430880,972.583213818,0,1
185,12487,972.638030870,972.639996886,0,1
186,12487,972.693588747,972.696334020,0,1
187,12487,972.749098494,972.749919960,0,1
188,12487,972.804748885,972.805466989,0,1
189,12487,972.860214279,972.862238633,0,1
190,12487,972.915765083,972.916472466,0,1
191,12487,972.971316975,972.973269167,0,1
192,12487,973.026873476,973.027557722,0,1
193,12487,973.082430361,973.084867816,0,1
194,12487,973.137985613,973.140099986,0,1
195,12487,973.193537729,973.195266586,0,1
196,12487,973.249104470,973.250852367,0,1
197,12487,973.304649386,973.305346177,0,1
198,12487,973.360209855,973.361840980,0,1
199,12487,973.415760947,973.416685298,0,1
200,12487,973.471317415,973.472999806,0,1
201,12487,973.526997855,973.527665717,0,1
202,12487,973.582427183,973.584307244,0,1
203,12487,973.638012419,973.638675097,0,1
204,12487,973.693559670,973.695270734,0,1
205,12487,973.749127242,973.750770912,0,1
206,12487,973.804649565,973.806450872,0,1
207,12487,973.860204560,973.861944617,0,1
208,12487,973.915766916,973.916684098,0,1
209,12487,973.971315735,973.973067473,0,1
210,12487,974.026876843,974.029051634,0,1
211,12487,974.082439775,974.083211576,0,1
212,12487,974.137994898,974.139633384,0,1
213,12487,974.193536518,974.195385442,0,1
214,12487,974.249100601,974.249732430,0,1
215,12487,974.304927958,974.306668335,0,1
216,12487,974.360204640,974.361828053,0,1
217,12487,974.415767956,974.417502701,0,1
218,12487,974.471316359,974.473283463,0,1
219,12487,974.526875258,974.528976190,0,1
220,12487,974.582432364,974.583404076,0,1
221,12487,974.637992287,974.639678486,0,1
222,12487,974.693542641,974.695369261,0,1
223,12487,974.749098916,974.751179816,0,1
224,12487,974.804655671,974.805383182,0,1
225,12487,974.860236042,974.861964738,0,1
226,12487,974.915762460,974.916481875,0,1
227,12487,974.971320782,974.973332144,0,1
228,12487,975.026943139,975.027751454,0,1
229,12487,975.082430836,975.084712126,0,1
230,12487,975.138004903,975.139679261,0,1
231,12487,975.193542841,975.195286802,0,1
232,12487,975.249098924,975.251025674,0,1
233,12487,975.304939911,975.305774467,0,1
234,12487,975.360204497,975.362007179,0,1
235,12487,975.415759747,975.417412857,0,1
236,12487,975.471319893,975.473201043,0,1
237,12487,975.526948297,975.527668385,0,1
238,12487,975.582424985,975.584378552,0,1
239,12487,975.638007051,975.639052045,0,1
240,12487,975.693538172,975.695812966,0,1
241,12487,975.749096110,975.750701346,0,1
242,12487,975.804648767,975.805406936,0,1
243,12487,975.860203153,975.861953162,0,1
244,12487,975.915765539,975.917565181,0,1
245,12487,975.971317012,975.973563998,0,1
246,12487,976.026877862,976.027521627,0,1
247,12487,976.082426456,976.084628479,0,1
248,12487,976.138252914,976.138978410,0,1
249,12487,976.193538235,976.195263027,0,1
250,12487,976.249107405,976.250804484,0,1
251,12487,976.304645630,976.305395127,0,1
252,12487,976.360213808,976.362113102,0,1
253,12487,976.415770402,976.417527323,0,1
254,12487,976.471317011,976.473130734,0,1
255,12487,976.526888772,976.528777698,0,1
256,12487,976.582850946,976.583805697,0,1
257,12487,976.638398035,976.639029639,0,1
258,12487,976.693537910,976.695504950,0,1
259,12487,976.749097415,976.750807774,0,1
260,12487,976.804650423,976.805397040,0,1
261,12487,976.860261930,976.862044644,0,1
262,12487,976.915944959,976.918125606,0,1
263,12487,976.971315753,976.973253833,0,1
264,12487,977.026893339,977.029097475,0,1
265,12487,977.082432395,977.083231493,0,1
266,12487,977.137987836,977.140337960,0,1
267,12487,977.193540557,977.195477580,0,1
268,12487,977.249093405,977.251068477,0,1
269,12487,977.304651150,977.306348357,0,1
270,12487,977.360226111,977.361037306,0,1
271,12487,977.415764176,977.417695374,0,1
272,12487,977.471503942,977.473230494,0,1
273,12487,977.526949874,977.528732876,0,1
274,12487,977.582427551,977.583178104,0,1
275,12487,977.638080690,977.639831595,0,1
276,12487,977.693542143,977.695296120,0,1
277,12487,977.749100687,977.750869705,0,1
278,12487,977.804656287,977.805364406,0,1
279,12487,977.860238223,977.862003145,0,1
280,12487,977.915761502,977.917662940,0,1
281,12487,977.971317198,977.973110216,0,1
282,12487,978.026877438,978.028702681,0,1
283,12487,978.082427310,978.083128068,0,1
284,12487,978.137994750,978.139792344,0,1
285,12487,978.193539341,978.195179395,0,1
286,12487,978.249098845,978.251135200,0,1
287,12487,978.304653805,978.305396645,0,1
288,12487,978.360216605,978.361869043,0,1
289,12487,978.415834223,978.417868049,0,1
290,12487,978.471320156,978.473185305,0,1
291,12487,978.526981806,978.527643140,0,1
292,12487,978.582428410,978.584289142,0,1
293,12487,978.637985641,978.638783235,0,1
294,12487,978.693707389,978.695595130,0,1
295,12487,978.749110119,978.749759196,0,1
296,12487,978.805086723,978.806835932,0,1
297,12487,978.860694964,978.861386955,0,1
298,12487,978.915760755,978.918003676,0,1
299,12487,978.971317570,978.972158813,0,1
300,12487,979.027942708,979.030329729,0,1
301,12487,979.082427232,979.083185272,0,1
302,12487,979.137985295,979.139975343,0,1
303,12487,979.193687906,979.194660642,0,1
304,12487,979.249096493,979.250910184,0,1
305,12487,979.304661852,979.306591739,0,1
306,12487,979.361370768,979.362035238,0,1
307,12487,979.415759673,979.417548051,0,1
308,12487,979.471322216,979.472277511,0,1
309,12487,979.527358789,979.529588462,0,1
310,12487,979.582428260,979.583171612,0,1
311,12487,979.638226617,979.639947057,0,1
312,12487,979.693542304,979.694401084,0,1
313,12487,979.749422456,979.751138608,0,1
314,12487,979.804651836,979.806471287,0,1
315,12487,979.860247435,979.860934465,0,1
316,12487,979.915764376,979.917619220,0,1
317,12487,979.971317798,979.973089311,0,1
318,12487,980.026877492,980.027699662,0,1
319,12487,980.082427170,980.084534854,0,1
320,12487,980.138025585,980.138724872,0,1
321,12487,980.193538654,980.195323096,0,1
322,12487,980.249103180,980.250855621,0,1
323,12487,980.304924994,980.305791455,0,1
324,12487,980.360210664,980.361957056,0,1
325,12487,980.416113921,980.416841913,0,1
326,12487,980.471317059,980.473380998,0,1
327,12487,980.527081527,980.527747373,0,1
328,12487,980.582428029,980.584285818,0,1
329,12487,980.638783812,980.639466298,0,1
330,12487,980.693543735,980.695377427,0,1
331,12487,980.749154406,980.749862909,0,1
332,12487,980.804651122,980.806293543,0,1
333,12487,980.860206111,980.862259457,0,1
334,12487,980.915761580,980.916523044,0,1
335,12487,980.971315065,980.973394492,0,1
336,12487,981.026884550,981.028720898,0,1
337,12487,981.082454228,981.083767871,0,1
338,12487,981.137987808,981.140159943,0,1
339,12487,981.193580143,981.195200451,0,1
340,12487,981.249100058,981.250933910,0,1
341,12487,981.304657480,981.305439905,0,1
342,12487,981.360367706,981.362280088,0,1
343,12487,981.415788354,981.416692160,0,1
344,12487,981.471568534,981.473290894,0,1
345,12487,981.526919484,981.527647251,0,1
346,12487,981.582435303,981.584163583,0,1
347,12487,981.637989427,981.639819150,0,1
348,12487,981.693539743,981.695178164,0,1
349,12487,981.749112140,981.751170831,0,1
350,12487,981.804652471,981.805512787,0,1
351,12487,981.860231780,981.862005758,0,1
352,12487,981.915769136,981.916718191,0,1
353,12487,981.971318012,981.974049589,0,1
354,12487,982.027236948,982.028080559,0,1
355,12487,982.082427220,982.084449814,0,1
356,12487,982.137982112,982.138755034,0,1
357,12487,982.193743155,982.195490380,0,1
358,12487,982.249489446,982.250174492,0,1
359,12487,982.304927758,982.306732873,0,1
360,12487,982.360202641,982.361288020,0,1
361,12487,982.415818015,982.417679132,0,1
362,12487,982.471317129,982.473141764,0,1
363,12487,982.527837396,982.528561419,0,1
364,12487,982.582425120,982.584244763,0,1
365,12487,982.638295029,982.639108592,0,1
366,12487,982.693539254,982.695218093,0,1
367,12487,982.749619795,982.750289737,0,1
368,12487,982.804651117,982.806433543,0,1
369,12487,982.860235257,982.861970866,0,1
370,12487,982.915758756,982.916553725,0,1
371,12487,982.971315695,982.973178443,0,1
372,12487,983.027091201,983.027753303,0,1
373,12487,983.082428102,983.084306243,0,1
374,12487,983.139104693,983.139727689,0,1
375,12487,983.193537692,983.195395384,0,1
376,12487,983.249988709,983.250659130,0,1
377,12487,983.304649235,983.306621299,0,1
378,12487,983.360366467,983.362112348,0,1
379,12487,983.415765450,983.417557700,0,1
380,12487,983.471319700,983.473107598,0,1
381,12487,983.526915360,983.527559637,0,1
382,12487,983.582435337,983.584519373,0,1
383,12487,983.638163577,983.638862960,0,1
384,12487,983.693542654,983.695197396,0,1
385,12487,983.749297199,983.749930596,0,1
386,12487,983.804649395,983.806904668,0,1
387,12487,983.860204573,983.860896212,0,1
388,12487,983.915761736,983.918053426,0,1
389,12487,983.971331763,983.973805059,0,1
390,12487,984.026880477,984.028176359,0,1
391,12487,984.082620941,984.084456873,0,1
392,12487,984.138100693,984.138780235,0,1
393,12487,984.193788708,984.195619071,0,1
394,12487,984.249099974,984.249754780,0,1
395,12487,984.304936794,984.306676050,0,1
396,12487,984.360208283,984.361375585,0,1
397,12487,984.415760549,984.417710245,0,1
398,12487,984.471316975,984.472161707,0,1
399,12487,984.527852761,984.529645427,0,1
400,12487,984.582434147,984.583220828,0,1
401,12487,984.637998573,984.639882282,0,1
402,12487,984.693538646,984.694268397,0,1
403,12487,984.749149537,984.750862201,0,1
404,12487,984.804651273,984.805295102,0,1
405,12487,984.860456346,984.862287094,0,1
406,12487,984.915759836,984.916623032,0,1
407,12487,984.971324966,984.973710355,0,1
408,12487,985.027283292,985.029025685,0,1
409,12487,985.082447257,985.083229075,0,1
410,12487,985.138505203,985.139355023,0,1
411,12487,985.193547436,985.195818742,0,1
412,12487,985.249099349,985.250764939,0,1
413,12487,985.304653983,985.306528476,0,1
414,12487,985.360213993,985.361973698,0,1
415,12487,985.415770450,985.417551212,0,1
416,12487,985.471317211,985.473046451,0,1
417,12487,985.526904005,985.528207279,0,1
418,12487,985.582435789,985.584409101,0,1
419,12487,985.638703340,985.639360738,0,1
420,12487,985.693571807,985.695397178,0,1
421,12487,985.749922817,985.750581047,0,1
422,12487,985.804647567,985.806372103,0,1
423,12487,985.860220216,985.860990161,0,1
424,12487,985.915763297,985.917555643,0,1
425,12487,985.971627507,985.973456206,0,1
426,12487,986.026919411,986.028805552,0,1
427,12487,986.082428859,986.083331928,0,1
428,12487,986.138496884,986.140370865,0,1
429,12487,986.193540460,986.195663409,0,1
430,12487,986.249106165,986.249806828,0,1
431,12487,986.304658462,986.306489369,0,1
432,12487,986.360229479,986.361064738,0,1
433,12487,986.415923892,986.417676269,0,1
434,12487,986.471564191,986.472542623,0,1
435,12487,986.527352334,986.529431442,0,1
436,12487,986.582503817,986.583261154,0,1
437,12487,986.638145492,986.639794345,0,1
438,12487,986.693650714,986.694333456,0,1
439,12487,986.749100990,986.750751380,0,1
440,12487,986.804742505,986.805560419,0,1
441,12487,986.860338354,986.862479159,0,1
442,12487,986.915786838,986.917519086,0,1
443,12487,986.971685225,986.972504036,0,1
444,12487,987.027594461,987.029366006,0,1
445,12487,987.082448654,987.083350667,0,1
446,12487,987.137989173,987.139805520,0,1
447,12487,987.193774212,987.194651265,0,1
448,12487,987.249098181,987.250822620,0,1
449,12487,987.304783121,987.305534889,0,1
450,12487,987.360395610,987.362235350,0,1
451,12487,987.415764252,987.417783517,0,1
