iter,PID,start,end,instance,activation
0,12424,960.498781323,960.499652263,0,1
1,12424,960.548814582,960.548879608,0,1
2,12424,960.598799392,960.598990630,0,1
3,12424,960.648802442,960.648993456,0,1
4,12424,960.698793556,960.720568447,0,1
5,12424,960.748805118,960.748925282,0,1
6,12424,960.798798728,960.798911756,0,1
7,12424,960.848803666,960.848900053,0,1
8,12424,960.898801596,960.898926656,0,1
9,12424,960.948815495,960.948896329,0,1
10,12424,960.998802096,960.998917524,0,1
11,12424,961.050087301,961.050164295,0,1
12,12424,961.098801092,961.098938793,0,1
13,12424,961.150368962,961.150442372,0,1
14,12424,961.198811737,961.198949854,0,1
15,12424,961.249339732,961.249439800,0,1
16,12424,961.299052277,961.299171193,0,1
17,12424,961.348806647,961.348885530,0,1
18,12424,961.398809921,961.398920389,0,1
19,12424,961.448803275,961.448881837,0,1
20,12424,961.498804180,961.498936152,0,1
21,12424,961.548797565,961.548873984,0,1
22,12424,961.598875145,961.598970860,0,1
23,12424,961.649611978,961.649750959,0,1
24,12424,961.698804601,961.698885147,0,1
25,12424,961.748804258,961.748924006,0,1
26,12424,961.798798635,961.798874413,0,1
27,12424,961.848971514,961.849083837,0,1
28,12424,961.898858239,961.898935650,0,1
29,12424,961.948799430,961.948933899,0,1
30,12424,961.998799183,961.998880914,0,1
31,12424,962.048879899,962.048991519,0,1
32,12424,962.098799010,962.098881636,0,1
33,12424,962.151770348,962.151892880,0,1
34,12424,962.198797364,962.198874742,0,1
35,12424,962.248824862,962.248968227,0,1
36,12424,962.298814279,962.298889705,0,1
37,12424,962.348798223,962.348913043,0,1
38,12424,962.398809081,962.398886683,0,1
39,12424,962.449023625,962.449133868,0,1
40,12424,962.499004784,962.499077075,0,1
41,12424,962.548944727,962.549048698,0,1
42,12424,962.598804026,962.598884189,0,1
43,12424,962.649682015,962.649801411,0,1
44,12424,962.699179191,962.699252953,0,1
45,12424,962.748838292,962.748911062,0,1
46,12424,962.798794235,962.798921919,0,1
47,12424,962.848910727,962.848990153,0,1
48,12424,962.898800267,962.898942224,0,1
49,12424,962.948793715,962.948896279,0,1
50,12424,962.998793660,962.998909215,0,1
51,12424,963.048803588,963.048898087,0,1
52,12424,963.098797740,963.098911248,0,1
53,12424,963.150573295,963.150673074,0,1
54,12424,963.198798621,963.198921921,0,1
55,12424,963.248798949,963.248903848,0,1
56,12424,963.298801293,963.298911185,0,1
57,12424,963.348799957,963.348868280,0,1
58,12424,963.398803262,963.398910881,0,1
59,12424,963.448801702,963.448879496,0,1
60,12424,963.498809005,963.498920561,0,1
61,12424,963.548799828,963.548894231,0,1
62,12424,963.599003298,963.599157287,0,1
63,12424,963.649509434,963.649589309,0,1
64,12424,963.698802186,963.698923598,0,1
65,12424,963.748813138,963.748888308,0,1
66,12424,963.798794936,963.798935453,0,1
67,12424,963.849487062,963.849559897,0,1
68,12424,963.899094033,963.899221877,0,1
69,12424,963.949262301,963.949339424,0,1
70,12424,963.999113184,963.999226756,0,1
71,12424,964.048801629,964.048901664,0,1
72,12424,964.098821765,964.098896359,0,1
73,12424,964.149795628,964.149903664,0,1
74,12424,964.198805331,964.198890614,0,1
75,12424,964.252067077,964.252210122,0,1
76,12424,964.300038794,964.300136461,0,1
77,12424,964.352140758,964.352275547,0,1
78,12424,964.400065305,964.400158812,0,1
79,12424,964.452290025,964.452416941,0,1
80,12424,964.499891745,964.499966116,0,1
81,12424,964.548809636,964.548946921,0,1
82,12424,964.598991696,964.599071155,0,1
83,12424,964.652126429,964.652273506,0,1
84,12424,964.700241318,964.700357386,0,1
85,12424,964.752085737,964.752203597,0,1
86,12424,964.800062605,964.800159792,0,1
87,12424,964.852672649,964.852802573,0,1
88,12424,964.898827857,964.898908980,0,1
89,12424,964.952079106,964.952173925,0,1
90,12424,964.998801917,964.998922113,0,1
91,12424,965.053060975,965.053140882,0,1
92,12424,965.099317819,965.099428734,0,1
93,12424,965.152127037,965.152225440,0,1
94,12424,965.200459885,965.200590545,0,1
95,12424,965.252058184,965.252146154,0,1
96,12424,965.300054028,965.300221650,0,1
97,12424,965.352065460,965.352176632,0,1
98,12424,965.400530089,965.400654157,0,1
99,12424,965.452042528,965.452126563,0,1
100,12424,965.498811100,965.498928640,0,1
101,12424,965.552079468,965.552198768,0,1
102,12424,965.600139026,965.600306424,0,1
103,12424,965.652059607,965.652162458,0,1
104,12424,965.698800753,965.698912405,0,1
105,12424,965.752048801,965.752122052,0,1
106,12424,965.798840029,965.798976162,0,1
107,12424,965.852994699,965.853075470,0,1
108,12424,965.900113618,965.900209877,0,1
109,12424,965.952043479,965.952158779,0,1
110,12424,965.999564779,965.999657038,0,1
111,12424,966.052063682,966.052217511,0,1
112,12424,966.099428209,966.099498036,0,1
113,12424,966.152056813,966.152176401,0,1
114,12424,966.199286392,966.199367386,0,1
115,12424,966.248801837,966.248915537,0,1
116,12424,966.299361349,966.299438504,0,1
117,12424,966.350278057,966.350386540,0,1
118,12424,966.400330768,966.400405714,0,1
119,12424,966.452046701,966.452125872,0,1
120,12424,966.498899851,966.499008366,0,1
121,12424,966.552058391,966.552152794,0,1
122,12424,966.598803345,966.598947861,0,1
123,12424,966.652348201,966.652441324,0,1
124,12424,966.701102949,966.701217225,0,1
125,12424,966.749101320,966.749179275,0,1
126,12424,966.798807139,966.798943879,0,1
127,12424,966.851325978,966.851397308,0,1
128,12424,966.899326365,966.899454753,0,1
129,12424,966.949153180,966.949219358,0,1
130,12424,966.999061341,966.999174145,0,1
131,12424,967.049016768,967.049091139,0,1
132,12424,967.099487060,967.099558167,0,1
133,12424,967.151199249,967.151348342,0,1
134,12424,967.198796519,967.198872489,0,1
135,12424,967.248797675,967.248926640,0,1
136,12424,967.298794704,967.298866930,0,1
137,12424,967.348799189,967.348908216,0,1
138,12424,967.398882204,967.398953566,0,1
139,12424,967.449028869,967.449156073,0,1
140,12424,967.499072874,967.499145996,0,1
141,12424,967.548801189,967.548919945,0,1
142,12424,967.598796200,967.598870699,0,1
143,12424,967.648970834,967.649077045,0,1
144,12424,967.699190237,967.699304160,0,1
145,12424,967.750698994,967.750801365,0,1
146,12424,967.798796663,967.798866521,0,1
