iter,PID,start,end,instance,activation
0,12433,960.623025019,960.624665425,254,0
1,12433,960.632786204,960.632790140,254,0
2,12433,960.642911944,960.642916904,254,0
3,12433,960.652162520,960.652401408,255,0
4,12433,960.661874167,960.661879895,255,0
5,12433,960.671582006,960.671621751,255,0
6,12433,960.681290325,960.681295797,255,0
7,12433,960.691001172,960.691006324,255,0
8,12433,960.701078239,960.701083135,255,0
9,12433,960.710702715,960.710708539,255,0
10,12433,960.720133424,960.720138481,255,0
11,12433,960.729894673,960.730043222,255,0
12,12433,960.739543918,960.739549454,255,0
13,12433,960.749263181,960.749268813,255,0
14,12433,960.758961708,960.759236693,256,0
15,12433,960.768673739,960.772458887,256,0
16,12433,960.778383337,960.778387434,256,0
17,12433,960.788095240,960.788098696,256,0
18,12433,960.797809959,960.797816520,256,0
19,12433,960.807509734,960.807514470,256,0
20,12433,960.817213509,960.817217285,256,0
21,12433,960.826936292,960.826940004,256,0
22,12433,960.836641027,960.836645763,256,0
23,12433,960.846348481,960.846352386,256,0
24,12433,960.856050528,960.857044193,257,1
25,12433,960.865759039,960.865762303,257,0
26,12433,960.875624931,960.875790312,257,0
27,12433,960.885251167,960.885255679,257,0
28,12433,960.894883899,960.894887420,257,0
29,12433,960.904596090,960.904600475,257,0
30,12433,960.914341498,960.914344987,257,0
31,12433,960.924307330,960.924324034,257,0
32,12433,960.934025985,960.934030977,257,0
33,12433,960.943482520,960.943486776,257,0
34,12433,960.953155349,960.953939279,258,1
35,12433,960.963599116,960.963604332,258,0
36,12433,960.972618068,960.972625077,258,0
37,12433,960.982604412,960.982659806,258,0
38,12433,960.991996849,960.992037586,258,0
39,12433,961.001687567,961.001693455,258,0
40,12433,961.011393774,961.011398894,258,0
41,12433,961.021106765,961.021111853,258,0
42,12433,961.030811436,961.030818316,258,0
43,12433,961.040682608,961.040687984,258,0
44,12433,961.050247434,961.050253642,258,0
45,12433,961.059935784,961.060763011,259,1
46,12433,961.069648935,961.069653127,259,0
47,12433,961.079351558,961.079358054,259,0
48,12433,961.089073093,961.089119526,259,0
49,12433,961.098767523,961.098771427,259,0
50,12433,961.108476514,961.108480386,259,0
51,12433,961.118227362,961.118230851,259,0
52,12433,961.128158409,961.128309582,259,0
53,12433,961.137613791,961.137618591,259,0
54,12433,961.147345183,961.147349439,259,0
55,12433,961.157023005,961.157810710,260,1
56,12433,961.166829983,961.166835583,260,0
57,12433,961.176608544,961.176613088,260,0
58,12433,961.186150265,961.186189594,260,0
59,12433,961.195858968,961.195863672,260,0
60,12433,961.205564343,961.205568663,260,0
61,12433,961.215287190,961.215290934,260,0
62,12433,961.224981620,961.224985397,260,0
63,12433,961.234973629,961.234978205,260,0
64,12433,961.244897282,961.244901603,260,0
65,12433,961.254330136,961.255117490,261,1
66,12433,961.264065976,961.264070488,261,0
67,12433,961.274145411,961.274149635,261,0
68,12433,961.283232333,961.283236526,261,0
69,12433,961.292946253,961.292991694,261,0
70,12433,961.302649451,961.302652587,261,0
71,12433,961.312358378,961.312363466,261,0
72,12433,961.322109418,961.322114602,261,0
73,12433,961.332273816,961.332289625,261,0
74,12433,961.341486951,961.341492167,261,0
75,12433,961.351210918,961.351214982,261,0
76,12433,961.360902404,961.361709855,262,1
77,12433,961.370618595,961.370621828,262,0
78,12433,961.380319106,961.380481031,262,0
79,12433,961.390074114,961.390077538,262,0
80,12433,961.400287986,961.400373461,262,0
81,12433,961.409473599,961.409478432,262,0
82,12433,961.419156221,961.419160510,262,0
83,12433,961.428940287,961.428946815,262,0
84,12433,961.438573307,961.438577851,262,0
85,12433,961.448290650,961.448296218,262,0
86,12433,961.457991929,961.458775282,263,1
87,12433,961.467698263,961.467702071,263,0
88,12433,961.477407286,961.477411062,263,0
89,12433,961.487118389,961.487122997,263,0
90,12433,961.496826195,961.496887573,263,0
91,12433,961.506533778,961.506537298,263,0
92,12433,961.516242705,961.516246065,263,0
93,12433,961.526353052,961.526358813,263,0
94,12433,961.536121405,961.536125693,263,0
95,12433,961.545727960,961.545733208,263,0
96,12433,961.555084971,961.555894726,264,1
97,12433,961.564786922,961.564791146,264,0
98,12433,961.574491528,961.574495337,264,0
99,12433,961.584203719,961.584207559,264,0
100,12433,961.594101612,961.594104876,264,0
101,12433,961.603752105,961.603793546,264,0
102,12433,961.613330435,961.613334787,264,0
103,12433,961.623040450,961.623044578,264,0
104,12433,961.632750689,961.632873061,264,0
105,12433,961.642495840,961.642499233,264,0
106,12433,961.652164446,961.652946136,265,1
107,12433,961.661875677,961.661880125,265,0
108,12433,961.671699807,961.671703551,265,0
109,12433,961.681827691,961.681832556,265,0
110,12433,961.691009625,961.691015065,265,0
111,12433,961.700721016,961.700724920,265,0
112,12433,961.710431446,961.710473784,265,0
113,12433,961.720133589,961.720138229,265,0
114,12433,961.729994680,961.730000409,265,0
115,12433,961.739549970,961.739555058,265,0
116,12433,961.749261265,961.749266641,265,0
117,12433,961.758964047,961.759764938,266,1
118,12433,961.768669966,961.768673230,266,0
119,12433,961.778387469,961.778391821,266,0
120,12433,961.788094443,961.788098636,266,0
121,12433,961.797876845,961.797882413,266,0
122,12433,961.807757681,961.807762385,266,0
123,12433,961.817214247,961.817257897,266,0
124,12433,961.826930182,961.826935494,266,0
125,12433,961.838415039,961.838421119,266,0
126,12433,961.847032250,961.847036986,266,0
127,12433,961.856066722,961.856897598,267,1
128,12433,961.865767425,961.865772449,267,0
129,12433,961.875465471,961.875468991,267,0
130,12433,961.885184126,961.885306498,267,0
131,12433,961.894883645,961.894888093,267,0
132,12433,961.904591739,961.904595707,267,0
133,12433,961.914301658,961.914305306,267,0
134,12433,961.924018809,961.924061018,267,0
135,12433,961.933767193,961.933771193,267,0
136,12433,961.944253905,961.944258865,267,0
137,12433,961.953267897,961.954089428,268,1
138,12433,961.963527338,961.963531050,268,0
139,12433,961.972554002,961.972558002,268,0
140,12433,961.982263601,961.982267761,268,0
141,12433,961.991968559,961.991972399,268,0
142,12433,962.001678126,962.001682318,268,0
143,12433,962.011389581,962.011393773,268,0
144,12433,962.021096907,962.021100683,268,0
145,12433,962.030922062,962.030959535,268,0
146,12433,962.040521673,962.040526089,268,0
147,12433,962.050692247,962.050697751,268,0
148,12433,962.059933958,962.060779586,269,1
149,12433,962.069640677,962.069645701,269,0
150,12433,962.079357508,962.079363652,269,0
151,12433,962.089148165,962.089151077,269,0
152,12433,962.098776353,962.098790401,269,0
153,12433,962.108677830,962.108681766,269,0
154,12433,962.118411141,962.118416198,269,0
155,12433,962.128176870,962.128185990,269,0
156,12433,962.137608123,962.137776705,269,0
157,12433,962.147693287,962.147698983,269,0
158,12433,962.157023769,962.157850292,270,1
159,12433,962.166728983,962.166732855,270,0
160,12433,962.176437046,962.176441366,270,0
161,12433,962.186158517,962.186164437,270,0
162,12433,962.196196767,962.196202239,270,0
163,12433,962.205835515,962.205841051,270,0
164,12433,962.215522233,962.215532185,270,0
165,12433,962.225306042,962.225309690,270,0
166,12433,962.234944374,962.234999160,270,0
167,12433,962.244587187,962.244593555,270,0
168,12433,962.254124172,962.254135724,270,0
169,12433,962.263822570,962.264687079,271,1
170,12433,962.273533417,962.273538697,271,0
171,12433,962.283232551,962.283237511,271,0
172,12433,962.292941574,962.292946278,271,0
173,12433,962.302655653,962.302660357,271,0
174,12433,962.312357411,962.312361827,271,0
175,12433,962.322070658,962.322076130,271,0
176,12433,962.334508730,962.334514011,271,0
177,12433,962.342865453,962.342910894,271,0
178,12433,962.352046650,962.352055034,271,0
179,12433,962.360915837,962.361687254,272,1
180,12433,962.370612443,962.370618492,272,0
181,12433,962.380320858,962.380325146,272,0
182,12433,962.390032569,962.390182750,272,0
183,12433,962.399753208,962.399757176,272,0
184,12433,962.409453462,962.409457558,272,0
185,12433,962.419157717,962.419161877,272,0
186,12433,962.429550250,962.429554218,272,0
187,12433,962.439459279,962.439462639,272,0
188,12433,962.448282064,962.449213839,273,1
189,12433,962.457994063,962.457997839,273,0
190,12433,962.467697901,962.467701838,273,0
191,12433,962.477448813,962.477451725,273,0
192,12433,962.487345874,962.487350226,273,0
193,12433,962.496906956,962.496911468,273,0
194,12433,962.506601354,962.506605386,273,0
195,12433,962.516240998,962.516244614,273,0
196,12433,962.526130954,962.526137419,273,0
197,12433,962.536792104,962.536795784,273,0
198,12433,962.546439845,962.546446117,273,0
199,12433,962.555098081,962.555146914,273,0
200,12433,962.564787678,962.565594553,274,1
201,12433,962.574493021,962.574496541,274,0
202,12433,962.584211932,962.584216124,274,0
203,12433,962.593915674,962.593919962,274,0
204,12433,962.603621208,962.603625528,274,0
205,12433,962.613331223,962.613334935,274,0
206,12433,962.623039957,962.623043733,274,0
207,12433,962.633576655,962.633580239,274,0
208,12433,962.642572246,962.642721307,274,0
209,12433,962.652165905,962.652992492,275,1
210,12433,962.661880399,962.661884048,275,0
211,12433,962.671736499,962.671741043,275,0
212,12433,962.681317517,962.681323085,275,0
213,12433,962.691001803,962.691005579,275,0
214,12433,962.700708553,962.700713897,275,0
215,12433,962.710424776,962.710429416,275,0
216,12433,962.720129350,962.720134438,275,0
217,12433,962.730417624,962.730421848,275,0
218,12433,962.740126582,962.740132694,275,0
219,12433,962.749549643,962.750372102,276,1
220,12433,962.759127206,962.759173255,276,0
221,12433,962.768694015,962.768698272,276,0
222,12433,962.778391518,962.778397278,276,0
223,12433,962.788092636,962.788096636,276,0
224,12433,962.797802554,962.797807834,276,0
225,12433,962.807510361,962.807515641,276,0
226,12433,962.817212471,962.817216663,276,0
