iter,PID,start,end,instance,activation
0,12469,960.436241925,960.469581292,0,0
1,12469,960.507691951,960.533377275,0,0
2,12469,960.579116185,960.622745426,0,0
3,12469,960.650631270,960.669219336,0,0
4,12469,960.721988813,960.730292414,0,1
5,12469,960.793433880,960.804950770,0,1
6,12469,960.864831104,960.979179852,0,1
7,12469,960.979216749,961.082544623,0,1
8,12469,961.082600720,961.187072247,0,1
9,12469,961.187135674,961.290369368,0,1
10,12469,961.290419514,961.392923296,0,1
11,12469,961.392987042,961.495661805,0,1
12,12469,961.495711247,961.601687781,0,1
13,12469,961.601728902,961.705705595,0,1
14,12469,961.705751517,961.812671442,0,1
15,12469,961.812710643,961.921046295,0,1
16,12469,961.921091609,962.025968875,0,1
17,12469,962.026019085,962.134987269,0,1
18,12469,962.135027367,962.235201407,0,1
19,12469,962.235238656,962.344454753,0,1
20,12469,962.344497026,962.360338282,0,1
21,12469,962.378120434,962.445831616,0,1
22,12469,962.449542522,962.549871445,0,1
23,12469,962.549920407,962.561551732,0,1
24,12469,962.592401320,962.653776358,0,1
25,12469,962.663825103,962.753385705,0,1
26,12469,962.753424234,962.857213015,0,1
27,12469,962.857253625,962.959931073,0,1
28,12469,962.959966082,963.062898675,0,1
29,12469,963.062934420,963.165718303,0,1
30,12469,963.165763489,963.271420267,0,1
31,12469,963.271450316,963.374543746,0,1
32,12469,963.374575331,963.481860097,0,1
33,12469,963.481892290,963.589579565,0,1
34,12469,963.589615502,963.694496349,0,1
35,12469,963.694537854,963.795583119,0,1
36,12469,963.795625776,963.899258582,0,1
37,12469,963.899307704,964.001917276,0,1
38,12469,964.001956317,964.106161942,0,1
39,12469,964.106214743,964.217650845,0,1
40,12469,964.217706175,964.324484139,0,1
41,12469,964.324529741,964.431962479,0,1
42,12469,964.432036882,964.539834398,0,1
43,12469,964.539871327,964.647728013,0,1
44,12469,964.647769903,964.856267583,0,1
45,12469,964.856311488,964.869137540,0,1
46,12469,964.928239189,964.966400791,0,1
47,12469,964.999203786,965.063836176,0,1
48,12469,965.070615726,965.173857349,0,1
49,12469,965.173895494,965.274492423,0,1
50,12469,965.274537512,965.380500984,0,1
51,12469,965.380552602,965.481829744,0,1
52,12469,965.481874097,965.587278509,0,1
53,12469,965.587315598,965.692797677,0,1
54,12469,965.692830958,965.796736217,0,1
55,12469,965.796770106,965.908914226,0,1
56,12469,965.908949203,966.011689464,0,1
57,12469,966.011725753,966.120305629,0,1
58,12469,966.120345630,966.237119279,0,1
59,12469,966.237156048,966.353482449,0,1
60,12469,966.353522675,966.463376640,0,1
61,12469,966.463437442,966.573811199,0,1
62,12469,966.573862560,966.690151294,0,1
63,12469,966.690217505,966.783111393,0,1
64,12469,966.783165379,966.893700293,0,1
65,12469,966.893750918,967.000142817,0,1
66,12469,967.000196259,967.104167758,0,1
67,12469,967.104213167,967.206873679,0,1
68,12469,967.206912689,967.312339115,0,1
69,12469,967.312380429,967.322132972,0,1
70,12469,967.383825583,967.436150528,0,1
71,12469,967.455258353,967.542672508,0,1
72,12469,967.542720702,967.554133011,0,1
73,12469,967.598113522,967.648165751,0,1
74,12469,967.669540691,967.750204833,0,1
75,12469,967.750253379,967.762665689,0,1
76,12469,967.812584506,967.857744607,0,1
77,12469,967.883837109,968.017410342,0,1
78,12469,968.017460232,968.119388750,0,1
79,12469,968.119440208,968.257672890,0,1
80,12469,968.257716476,968.393334928,0,1
81,12469,968.393385874,968.498318009,0,1
82,12469,968.498383387,968.603667182,0,1
83,12469,968.603725904,968.737120377,0,1
84,12469,968.737162778,968.933641778,0,1
85,12469,968.933688308,969.033894816,0,1
86,12469,969.033939233,969.167630100,0,1
87,12469,969.167671254,969.302609458,0,1
88,12469,969.302665075,969.405168907,0,1
89,12469,969.405222189,969.510379385,0,1
90,12469,969.510417243,969.648988427,0,1
91,12469,969.649041805,969.753167191,0,1
92,12469,969.753213657,969.763658638,0,1
93,12469,969.791917993,969.886881673,0,1
94,12469,969.886940362,970.017623705,0,1
95,12469,970.017669658,970.118961192,0,1
96,12469,970.119006762,970.224033266,0,1
97,12469,970.224080115,970.332075356,0,1
98,12469,970.332131966,970.466931635,0,1
99,12469,970.466990868,970.597947914,0,1
100,12469,970.598027980,970.732968931,0,1
101,12469,970.732998276,970.837169582,0,1
102,12469,970.837200911,970.970713080,0,1
103,12469,970.970747449,971.069786108,0,1
104,12469,971.069825533,971.200191455,0,1
105,12469,971.200225920,971.328755718,0,1
