iter,PID,start,end,instance,activation
0,12426,960.209879574,960.232400666,0,0
1,12426,960.272399453,960.300661054,0,0
2,12426,960.334904835,960.373364563,0,0
3,12426,960.397392232,960.421371324,0,0
4,12426,960.459898094,960.492429594,0,0
5,12426,960.522393266,960.536486977,0,0
6,12426,960.584899991,960.615696202,0,0
7,12426,960.647393275,960.657732367,0,0
8,12426,960.709899808,960.718214065,0,0
9,12426,960.772400453,960.777017565,0,1
10,12426,960.835073007,960.838292473,0,1
11,12426,960.897412078,960.900377680,0,1
12,12426,960.959903987,960.963159294,0,1
13,12426,961.022721250,961.026003022,0,1
14,12426,961.084902524,961.088280683,0,1
15,12426,961.147427681,961.150629035,0,1
16,12426,961.209899845,961.213329014,0,1
17,12426,961.272398794,961.275692726,0,1
18,12426,961.334969681,961.338066838,0,1
19,12426,961.397398835,961.401049579,0,1
20,12426,961.459967193,961.463673363,0,1
21,12426,961.522400955,961.525627781,0,1
22,12426,961.584899006,961.588186538,0,1
23,12426,961.647554215,961.650661069,0,1
24,12426,961.709908453,961.713177392,0,1
25,12426,961.772402664,961.775316776,0,1
26,12426,961.834904140,961.837966896,0,1
27,12426,961.897415312,961.901031206,0,1
28,12426,961.959965589,961.963066683,0,1
29,12426,962.022400278,962.026392505,0,1
30,12426,962.085201603,962.088749688,0,1
31,12426,962.147758825,962.150798956,0,1
32,12426,962.209898528,962.212952036,0,1
33,12426,962.272409284,962.275371749,0,1
34,12426,962.335443385,962.339345753,0,1
35,12426,962.397759926,962.400994497,0,1
36,12426,962.459899342,962.463010228,0,1
37,12426,962.522404304,962.525627002,0,1
38,12426,962.584904722,962.587814738,0,1
39,12426,962.648045002,962.650926440,0,1
40,12426,962.709896887,962.713289926,0,1
41,12426,962.772580543,962.775809673,0,1
42,12426,962.834908732,962.837989249,0,1
43,12426,962.897399069,962.901122712,0,1
44,12426,962.959911872,962.963150730,0,1
45,12426,963.022399874,963.025956823,0,1
46,12426,963.085226447,963.088421848,0,1
47,12426,963.148047420,963.150902777,0,1
48,12426,963.209906857,963.212825385,0,1
49,12426,963.272413003,963.275282890,0,1
50,12426,963.334898637,963.337764715,0,1
51,12426,963.397403056,963.401107849,0,1
52,12426,963.460050678,963.463009591,0,1
53,12426,963.522401011,963.525404405,0,1
54,12426,963.584985462,963.587972472,0,1
55,12426,963.647402485,963.650405271,0,1
56,12426,963.709900886,963.712967002,0,1
57,12426,963.772398455,963.775336631,0,1
58,12426,963.834898616,963.837811960,0,1
59,12426,963.897405817,963.900589538,0,1
60,12426,963.959904218,963.962831514,0,1
61,12426,964.022408252,964.025634021,0,1
62,12426,964.085101475,964.088152295,0,1
63,12426,964.147402526,964.150435649,0,1
64,12426,964.211093126,964.214702524,0,1
