iter,PID,start,end,instance,activation
0,13781,967.027669606,967.027975952,0,0
1,13781,967.061410294,967.061485561,0,0
2,13781,967.094604661,967.094686839,0,0
3,13781,967.127706160,967.130138848,318,1
4,13781,967.161024115,967.161124950,318,0
5,13781,967.194767363,967.194773539,318,0
6,13781,967.227690297,967.228738971,319,1
7,13781,967.261018299,967.261082270,319,0
8,13781,967.294352767,967.294359167,319,0
9,13781,967.327685314,967.328562942,320,1
10,13781,967.361035909,967.361041829,320,0
11,13781,967.394536558,967.394610288,320,0
12,13781,967.428078359,967.428145402,320,0
13,13781,967.461044430,967.461770886,321,1
14,13781,967.494362896,967.494446579,321,0
15,13781,967.528130049,967.528218468,321,0
16,13781,967.561025813,967.561760109,322,1
17,13781,967.594351063,967.594452570,322,0
18,13781,967.627962818,967.627968611,322,0
19,13781,967.661022044,967.661832022,323,1
20,13781,967.694354910,967.694360735,323,0
21,13781,967.727709505,967.727797540,323,0
22,13781,967.761038916,967.761792476,324,1
23,13781,967.794360198,967.794366374,324,0
24,13781,967.827870958,967.827975633,324,0
25,13781,967.861024683,967.861756835,325,1
26,13781,967.894361869,967.894430959,325,0
27,13781,967.928144894,967.928235425,325,0
28,13781,967.961047923,967.961053523,325,0
29,13781,967.994633277,967.994711648,325,0
30,13781,968.028601012,968.029305996,326,1
31,13781,968.061368932,968.061435463,326,0
32,13781,968.094369244,968.094471903,326,0
33,13781,968.127756032,968.128528121,327,1
34,13781,968.161035297,968.161119908,327,0
35,13781,968.194465510,968.194561962,327,0
36,13781,968.227708486,968.227714950,327,0
37,13781,968.261027208,968.261787873,328,1
38,13781,968.294353994,968.294359466,328,0
39,13781,968.328059065,968.328145179,328,0
40,13781,968.361203573,968.361276631,328,0
41,13781,968.394361586,968.395068489,330,1
42,13781,968.428121218,968.428192036,330,0
43,13781,968.461039414,968.461045207,330,0
44,13781,968.494495644,968.495270646,331,1
45,13781,968.527716058,968.527721883,331,0
46,13781,968.561040316,968.561119615,331,0
47,13781,968.594768555,968.594837229,331,0
48,13781,968.627709536,968.628674143,332,1
49,13781,968.661017601,968.661107364,332,0
50,13781,968.694397412,968.694403012,332,0
51,13781,968.727995599,968.728132179,332,0
52,13781,968.761021446,968.761796128,333,1
53,13781,968.794357480,968.794364201,333,0
54,13781,968.827718507,968.827804590,333,0
55,13781,968.861135344,968.861140784,333,0
56,13781,968.894351022,968.894445937,333,0
57,13781,968.928641615,968.929415368,335,1
58,13781,968.961047602,968.961053138,335,0
59,13781,968.994514360,968.994586971,335,0
60,13781,969.028686102,969.028693110,335,0
61,13781,969.061106106,969.061849298,336,1
62,13781,969.094350873,969.094461404,336,0
63,13781,969.128052326,969.128058119,336,0
64,13781,969.161029597,969.161118592,336,0
65,13781,969.194393727,969.195040341,337,1
66,13781,969.227708289,969.227807556,337,0
67,13781,969.261029666,969.261093828,337,0
68,13781,969.294358500,969.294364292,337,0
69,13781,969.327686181,969.328940527,339,1
70,13781,969.361251183,969.361256975,339,0
71,13781,969.394360873,969.394431436,339,0
72,13781,969.428177211,969.428945748,340,1
73,13781,969.461925290,969.461930602,340,0
74,13781,969.494356302,969.494427952,340,0
75,13781,969.528082076,969.528767378,341,1
76,13781,969.561016176,969.561083890,341,0
77,13781,969.594449941,969.594546264,341,0
78,13781,969.627746773,969.627752629,341,0
79,13781,969.661028020,969.661802478,342,1
80,13781,969.694621374,969.694627550,342,0
81,13781,969.727711895,969.727807290,342,0
82,13781,969.761020408,969.761763856,344,1
83,13781,969.794361945,969.794368121,344,0
84,13781,969.827707387,969.827818655,344,0
85,13781,969.861683825,969.861746259,344,0
86,13781,969.894350749,969.895048275,345,1
87,13781,969.928054602,969.928143405,345,0
88,13781,969.964165350,969.964170278,345,0
89,13781,969.994351264,969.994420483,345,0
90,13781,970.028102959,970.028822151,346,1
91,13781,970.061022723,970.061122982,346,0
92,13781,970.094350436,970.094435591,346,0
93,13781,970.128044881,970.128720231,347,1
94,13781,970.161037863,970.161105673,347,0
95,13781,970.194587472,970.194593616,347,0
96,13781,970.228314846,970.229110520,348,1
97,13781,970.261024651,970.261097709,348,0
98,13781,970.294365708,970.294377580,348,0
99,13781,970.328053241,970.328150012,348,0
100,13781,970.362094897,970.362828073,349,1
101,13781,970.394618520,970.394725276,349,0
102,13781,970.428097470,970.428184065,349,0
103,13781,970.463153431,970.463159735,349,0
104,13781,970.494354482,970.495178957,350,1
105,13781,970.527987645,970.527993629,350,0
106,13781,970.561361887,970.561434113,350,0
107,13781,970.594354804,970.594424118,350,0
108,13781,970.628101314,970.628797881,352,1
109,13781,970.661022710,970.661099576,352,0
110,13781,970.694497723,970.694502971,352,0
111,13781,970.727975072,970.728094660,352,0
112,13781,970.761160508,970.761890516,353,1
113,13781,970.794461564,970.794467548,353,0
114,13781,970.828135399,970.828212106,353,0
115,13781,970.861043450,970.861736241,354,1
116,13781,970.894353498,970.894423772,354,0
117,13781,970.928099560,970.928175819,354,0
118,13781,970.961027772,970.961032604,354,0
119,13781,970.994576003,970.995382270,356,1
120,13781,971.028192461,971.028198093,356,0
121,13781,971.061085824,971.061151682,356,0
122,13781,971.094350238,971.095130487,357,1
123,13781,971.127923270,971.127929191,357,0
124,13781,971.161030592,971.161107970,357,0
125,13781,971.194461604,971.194520709,357,0
126,13781,971.228053901,971.228720098,358,1
127,13781,971.261019425,971.261109092,358,0
128,13781,971.294354722,971.294358370,358,0
129,13781,971.328468380,971.329210644,359,1
130,13781,971.362209194,971.362215722,359,0
131,13781,971.394653582,971.394722096,359,0
132,13781,971.428094162,971.428154548,359,0
133,13781,971.461017701,971.461709371,360,1
134,13781,971.494357189,971.494416551,360,0
135,13781,971.527811465,971.527817129,360,0
136,13781,971.561023493,971.561088423,360,0
137,13781,971.594834325,971.595561229,362,1
138,13781,971.627696102,971.627701478,362,0
139,13781,971.661033734,971.661113192,362,0
140,13781,971.694366918,971.695002459,363,1
141,13781,971.727726311,971.727805225,363,0
142,13781,971.761109289,971.761190763,363,0
143,13781,971.794375142,971.794380423,363,0
144,13781,971.827975663,971.828904142,364,1
145,13781,971.861595065,971.861600025,364,0
146,13781,971.894357286,971.894422824,364,0
147,13781,971.928071123,971.928815531,365,1
148,13781,971.961501174,971.961506806,365,0
149,13781,971.994614447,971.994680753,365,0
150,13781,972.027991024,972.028688231,366,1
151,13781,972.061053959,972.061142218,366,0
152,13781,972.094355398,972.094420521,366,0
153,13781,972.127715399,972.128400574,367,1
154,13781,972.161038247,972.161112970,367,0
155,13781,972.194668977,972.194673681,367,0
156,13781,972.227699879,972.227773674,367,0
157,13781,972.261020551,972.261760031,368,1
158,13781,972.294364807,972.294369671,368,0
159,13781,972.327719336,972.327784170,368,0
160,13781,972.361203501,972.361209581,368,0
161,13781,972.394351527,972.395112704,370,1
162,13781,972.428074420,972.428140214,370,0
163,13781,972.461068073,972.461073193,370,0
164,13781,972.494352998,972.495051869,371,1
165,13781,972.528102740,972.528109684,371,0
166,13781,972.561020421,972.561101192,371,0
167,13781,972.594605421,972.594687568,371,0
168,13781,972.627714693,972.630228983,372,1
169,13781,972.661049093,972.661120775,372,0
170,13781,972.694350467,972.695009497,373,1
171,13781,972.728100784,972.728178899,373,0
172,13781,972.761026723,972.761102693,373,0
173,13781,972.794445797,972.794449829,373,0
174,13781,972.827733667,972.828912617,374,1
175,13781,972.861025697,972.861031137,374,0
176,13781,972.894351488,972.894422979,374,0
177,13781,972.927700064,972.928440921,375,1
178,13781,972.961063361,972.961070753,375,0
179,13781,972.994359007,972.994426049,375,0
180,13781,973.028226320,973.028232784,375,0
181,13781,973.061059327,973.061798807,376,1
182,13781,973.094741546,973.094802860,376,0
183,13781,973.127693501,973.128475063,378,1
184,13781,973.161022877,973.161093535,378,0
185,13781,973.194797003,973.194802731,378,0
186,13781,973.227689948,973.228563000,379,1
187,13781,973.261022235,973.261116478,379,0
188,13781,973.294352155,973.294357595,379,0
189,13781,973.328082375,973.328164074,379,0
190,13781,973.361047802,973.361761330,380,1
191,13781,973.394354233,973.394432988,380,0
192,13781,973.427740730,973.427804956,380,0
193,13781,973.461089306,973.461639180,381,1
194,13781,973.494355927,973.494453658,381,0
195,13781,973.528040161,973.528045921,381,0
196,13781,973.561021845,973.561732844,382,1
197,13781,973.594358548,973.594423414,382,0
198,13781,973.627711635,973.627717587,382,0
199,13781,973.661047602,973.661780874,383,1
200,13781,973.694365457,973.694370609,383,0
201,13781,973.728083324,973.728154782,383,0
202,13781,973.761020302,973.761831593,384,1
203,13781,973.794354413,973.794359277,384,0
204,13781,973.827954549,973.828044824,384,0
205,13781,973.861025995,973.861728450,385,1
206,13781,973.894742199,973.894831577,385,0
207,13781,973.927927345,973.928904432,386,1
208,13781,973.961021960,973.961027784,386,0
209,13781,973.994352519,973.994437897,386,0
210,13781,974.027715110,974.028512576,387,1
211,13781,974.061054598,974.061112327,387,0
212,13781,974.094356260,974.094424038,387,0
