iter,PID,start,end,instance,activation
0,12055,945.938317942,945.938324630,108,1
1,12055,945.942416669,945.942421470,108,0
2,12055,945.946513285,945.946516997,108,0
3,12055,945.950613037,945.950615469,108,0
4,12055,945.954708565,945.954711733,108,0
5,12055,945.958808093,945.958809437,108,0
6,12055,945.962907685,945.962909701,108,0
7,12055,945.967088943,945.967090895,108,0
8,12055,945.971105172,945.971106996,108,0
9,12055,945.975226429,945.975232253,108,0
10,12055,945.979307844,945.979310884,108,0
11,12055,945.983433805,945.983438637,108,0
12,12055,945.987516884,945.987520820,108,0
13,12055,945.991625404,945.991629821,108,0
14,12055,945.995839272,945.995843976,108,0
15,12055,945.999804171,945.999807052,108,0
16,12055,946.003910580,946.003913236,108,0
17,12055,946.008043517,946.008047645,108,0
18,12055,946.012105411,946.012107491,108,0
19,12055,946.016217643,946.016221964,108,0
20,12055,946.020300787,946.020303571,108,0
21,12055,946.024417211,946.024421179,108,0
22,12055,946.028563685,946.034354309,109,1
23,12055,946.034423655,946.034427303,109,0
24,12055,946.036695730,946.036698738,109,0
25,12055,946.040812283,946.040817467,109,0
26,12055,946.044914307,946.044919491,109,0
27,12055,946.049106893,946.049115534,109,0
28,12055,946.053069201,946.053071857,109,0
29,12055,946.057173593,946.057177177,109,0
30,12055,946.061266880,946.061268993,109,0
31,12055,946.065369160,946.065371721,109,0
32,12055,946.069465200,946.069467408,109,0
33,12055,946.073559384,946.073560376,109,0
34,12055,946.077661696,946.077663808,109,0
35,12055,946.081765352,946.081767976,109,0
36,12055,946.085861712,946.085863760,109,0
37,12055,946.089958007,946.089961432,109,0
38,12055,946.094059583,946.094062367,109,0
39,12055,946.098219945,946.098223657,109,0
40,12055,946.102251279,946.102253967,109,0
41,12055,946.106351191,946.106353591,109,0
42,12055,946.110449791,946.110451519,109,0
43,12055,946.114551046,946.114553415,109,0
44,12055,946.118669295,946.118671407,109,0
45,12055,946.122747382,946.122749014,109,0
46,12055,946.127176393,946.132584540,110,1
47,12055,946.132652446,946.132655967,110,0
48,12055,946.135062030,946.135063598,110,0
49,12055,946.139201751,946.139205464,110,0
50,12055,946.143261278,946.143265118,110,0
51,12055,946.147384711,946.147388199,110,0
52,12055,946.151432461,946.151434349,110,0
53,12055,946.155528597,946.155531349,110,0
54,12055,946.159660734,946.159662750,110,0
55,12055,946.163725796,946.163727908,110,0
56,12055,946.167825484,946.167827532,110,0
57,12055,946.171923988,946.171926708,110,0
58,12055,946.176062173,946.176064221,110,0
59,12055,946.180123204,946.180127044,110,0
60,12055,946.184219083,946.184221004,110,0
61,12055,946.188318867,946.188321235,110,0
62,12055,946.192418875,946.192421563,110,0
63,12055,946.196513891,946.196515779,110,0
64,12055,946.200608427,946.200610187,110,0
65,12055,946.204711315,946.204714195,110,0
66,12055,946.208807962,946.208809690,110,0
67,12055,946.212909698,946.212911458,110,0
68,12055,946.217005962,946.217007818,110,0
69,12055,946.221104018,946.221105330,110,0
70,12055,946.225200698,946.225202106,110,0
71,12055,946.229347715,946.234032030,111,1
72,12055,946.234092800,946.234096257,111,0
73,12055,946.237502129,946.237503953,111,0
74,12055,946.241597369,946.241599353,111,0
75,12055,946.245691649,946.245696417,111,0
76,12055,946.249948270,946.249952814,111,0
77,12055,946.253917073,946.253922642,111,0
78,12055,946.258010457,946.258015161,111,0
79,12055,946.262106689,946.262113729,111,0
80,12055,946.266208393,946.266212841,111,0
81,12055,946.270318993,946.270321777,111,0
82,12055,946.274381112,946.274382776,111,0
83,12055,946.278558466,946.278560546,111,0
84,12055,946.282580231,946.282582504,111,0
85,12055,946.286675503,946.286677615,111,0
86,12055,946.290844569,946.290846585,111,0
87,12055,946.294907488,946.294912352,111,0
88,12055,946.299005800,946.299009928,111,0
89,12055,946.303094447,946.303098479,111,0
