iter,PID,start,end,instance,activation
0,13782,967.232536023,967.232538615,319,1
1,13782,967.235534041,967.235536793,319,0
2,13782,967.238536924,967.238540476,319,0
3,13782,967.241538462,967.241541214,319,0
4,13782,967.244546624,967.244550592,319,0
5,13782,967.247545058,967.247547779,319,0
6,13782,967.250856079,967.250859727,319,0
7,13782,967.253791599,967.253813936,319,0
8,13782,967.256932342,967.256935990,319,0
9,13782,967.259555948,967.259557612,319,0
10,13782,967.262558254,967.262560398,319,0
11,13782,967.265567760,967.265571344,319,0
12,13782,967.268896093,967.268899261,319,0
13,13782,967.271569333,967.271571285,319,0
14,13782,967.275002341,967.275008645,319,0
15,13782,967.277578169,967.277583354,319,0
16,13782,967.280577308,967.280579452,319,0
17,13782,967.283866375,967.283869767,319,0
18,13782,967.286583488,967.286593281,319,0
19,13782,967.289585090,967.289587907,319,0
20,13782,967.292587077,967.292588933,319,0
21,13782,967.295803086,967.295807054,319,0
22,13782,967.298600490,967.298605322,319,0
23,13782,967.301609516,967.301613900,319,0
24,13782,967.304604398,967.304608590,319,0
25,13782,967.307606512,967.307629393,319,0
26,13782,967.310610227,967.310613811,319,0
27,13782,967.313697592,967.313702392,319,0
28,13782,967.316616887,967.316620887,319,0
29,13782,967.319633914,967.319638682,319,0
30,13782,967.322626588,967.322629820,319,0
31,13782,967.325634238,967.325638207,319,0
32,13782,967.328629184,967.328785830,320,1
33,13782,967.331629443,967.331633155,320,0
34,13782,967.334632101,967.334634469,320,0
35,13782,967.337826925,967.337830286,320,0
36,13782,967.340640490,967.340643658,320,0
37,13782,967.343652268,967.343657132,320,0
38,13782,967.346649198,967.346654094,320,0
39,13782,967.349667185,967.349671569,320,0
40,13782,967.352649875,967.352652403,320,0
41,13782,967.355654517,967.355657973,320,0
42,13782,967.358654967,967.358657559,320,0
43,13782,967.361666234,967.361668666,320,0
44,13782,967.364663100,967.364686333,320,0
45,13782,967.367719584,967.367722144,320,0
46,13782,967.370665920,967.370667680,320,0
47,13782,967.373668771,967.373670243,320,0
48,13782,967.376676677,967.376679493,320,0
49,13782,967.379677351,967.379679655,320,0
50,13782,967.382678442,967.382680138,320,0
51,13782,967.385682572,967.385684812,320,0
52,13782,967.388691438,967.388696334,320,0
53,13782,967.391690608,967.391694897,320,0
54,13782,967.394750677,967.394754581,320,0
55,13782,967.398252231,967.398256679,320,0
56,13782,967.400701943,967.400706200,320,0
57,13782,967.403699418,967.403701402,320,0
58,13782,967.406765502,967.406769950,320,0
59,13782,967.409708542,967.409711262,320,0
60,13782,967.412727105,967.412728769,320,0
61,13782,967.415714755,967.415716899,320,0
62,13782,967.418714565,967.418731910,320,0
63,13782,967.421712903,967.421713831,320,0
64,13782,967.424871151,967.424873103,320,0
65,13782,967.428066135,967.428070455,320,0
66,13782,967.431112219,967.431121275,320,0
67,13782,967.433982681,967.433988953,320,0
68,13782,967.437091166,967.437096287,320,0
69,13782,967.439743797,967.439747541,320,0
70,13782,967.442744631,967.442747927,320,0
71,13782,967.445742297,967.445744826,320,0
72,13782,967.448986692,967.448990020,320,0
73,13782,967.451747710,967.451750334,320,0
74,13782,967.454824515,967.454827491,320,0
75,13782,967.457758883,967.457762691,320,0
76,13782,967.460774821,967.460780741,320,0
77,13782,967.463766247,967.463914476,321,1
78,13782,967.467122773,967.467127765,321,0
79,13782,967.469769131,967.469772428,321,0
80,13782,967.472767758,967.472769742,321,0
81,13782,967.475771664,967.475794481,321,0
82,13782,967.479054491,967.479057467,321,0
83,13782,967.481777044,967.481779348,321,0
84,13782,967.484936892,967.484939260,321,0
85,13782,967.487789689,967.487792665,321,0
86,13782,967.490788859,967.490791419,321,0
87,13782,967.493788349,967.493789597,321,0
88,13782,967.497050792,967.497053480,321,0
89,13782,967.499798754,967.499801570,321,0
90,13782,967.502798276,967.502804452,321,0
91,13782,967.505803782,967.505806918,321,0
92,13782,967.509037456,967.509039888,321,0
93,13782,967.511807819,967.511810187,321,0
94,13782,967.515148216,967.515150360,321,0
95,13782,967.517813743,967.517815855,321,0
96,13782,967.520816401,967.520818673,321,0
97,13782,967.523826164,967.523828020,321,0
98,13782,967.526840790,967.526844855,321,0
99,13782,967.531803289,967.531832122,321,0
100,13782,967.532837307,967.532840251,321,0
101,13782,967.535869534,967.535877566,321,0
102,13782,967.539895298,967.539900386,321,0
103,13782,967.541839713,967.541843905,321,0
104,13782,967.545412694,967.545420086,321,0
105,13782,967.547852870,967.547856774,321,0
106,13782,967.550976588,967.550981164,321,0
107,13782,967.553853674,967.553858314,321,0
108,13782,967.556854060,967.556858604,321,0
109,13782,967.559859695,967.559863375,321,0
110,13782,967.562864305,967.563047351,322,1
111,13782,967.565863859,967.565867603,322,0
112,13782,967.568896982,967.568899894,322,0
113,13782,967.571870776,967.571873528,322,0
114,13782,967.574879578,967.574882682,322,0
115,13782,967.577877532,967.577879996,322,0
116,13782,967.580930336,967.580933216,322,0
117,13782,967.583879136,967.583880896,322,0
118,13782,967.586883491,967.586905891,322,0
119,13782,967.589890661,967.589893893,322,0
120,13782,967.592890119,967.592893415,322,0
121,13782,967.595896617,967.595899018,322,0
122,13782,967.598900812,967.598904588,322,0
123,13782,967.601898350,967.601901518,322,0
124,13782,967.604903184,967.604905264,322,0
125,13782,967.607967988,967.607971765,322,0
126,13782,967.611438886,967.611443878,322,0
127,13782,967.613914775,967.613917175,322,0
128,13782,967.616913401,967.616917113,322,0
129,13782,967.619917659,967.619923067,322,0
130,13782,967.622919325,967.622922558,322,0
131,13782,967.626001922,967.626004642,322,0
