iter,PID,start,end,instance,activation
0,13793,967.232162987,967.232164747,319,1
1,13793,967.234158732,967.234161452,319,0
2,13793,967.236164814,967.236168014,319,0
3,13793,967.238162351,967.238164847,319,0
4,13793,967.240159313,967.240160785,319,0
5,13793,967.242157170,967.242158386,319,0
6,13793,967.244161396,967.244163540,319,0
7,13793,967.246158549,967.246160373,319,0
8,13793,967.248160183,967.248161943,319,0
9,13793,967.250156792,967.250158232,319,0
10,13793,967.252160282,967.252162170,319,0
11,13793,967.254158747,967.254161275,319,0
12,13793,967.256157660,967.256159516,319,0
13,13793,967.258159998,967.258161918,319,0
14,13793,967.260159967,967.260161023,319,0
15,13793,967.262158401,967.262205602,319,1
16,13793,967.264173859,967.264175875,319,0
17,13793,967.266173316,967.266175716,319,0
18,13793,967.268163493,967.268165733,319,0
19,13793,967.270165703,967.270187144,319,0
20,13793,967.272158184,967.272159464,319,0
21,13793,967.274191595,967.274194027,319,0
22,13793,967.276537143,967.276542360,319,0
23,13793,967.278157900,967.278160973,319,0
24,13793,967.280156718,967.280158190,319,0
25,13793,967.282158255,967.282159471,319,0
26,13793,967.284159121,967.284161841,319,0
27,13793,967.286163602,967.286165907,319,0
28,13793,967.288155252,967.288157428,319,0
29,13793,967.290162933,967.290164661,319,0
30,13793,967.292162039,967.292163447,319,0
31,13793,967.294167384,967.294169817,319,0
32,13793,967.296161690,967.296221084,319,1
33,13793,967.298161115,967.298163995,319,0
34,13793,967.300159453,967.300161757,319,0
35,13793,967.302160030,967.302162206,319,0
36,13793,967.304322437,967.304325093,319,0
37,13793,967.306216515,967.306219587,319,0
38,13793,967.308157826,967.308159810,319,0
39,13793,967.310321257,967.310330057,319,0
40,13793,967.312162949,967.312165062,319,0
41,13793,967.314161159,967.314164007,319,0
42,13793,967.316169545,967.316171817,319,0
43,13793,967.318167210,967.318169354,319,0
44,13793,967.320156747,967.320157643,319,0
45,13793,967.322171565,967.322176013,319,0
46,13793,967.324162798,967.324165358,319,0
47,13793,967.326192369,967.326195889,319,0
48,13793,967.328165585,967.328215411,319,1
49,13793,967.330164115,967.330216116,320,1
50,13793,967.332159380,967.332162068,320,0
51,13793,967.334310842,967.334312794,320,0
52,13793,967.336355133,967.336357341,320,0
53,13793,967.338250267,967.338252475,320,0
54,13793,967.340158426,967.340160538,320,0
55,13793,967.342157019,967.342158523,320,0
56,13793,967.344544617,967.344547081,320,0
57,13793,967.346409798,967.346413191,320,0
58,13793,967.348161024,967.348163584,320,0
59,13793,967.350157441,967.350158753,320,0
60,13793,967.352168195,967.352176163,320,0
61,13793,967.354215590,967.354217414,320,0
62,13793,967.356221768,967.356224872,320,0
63,13793,967.358160871,967.358163143,320,0
64,13793,967.360160488,967.360162025,320,0
65,13793,967.362162090,967.362239277,320,1
66,13793,967.364319569,967.364321233,320,0
67,13793,967.366260848,967.366262416,320,0
68,13793,967.368161934,967.368164046,320,0
69,13793,967.370157968,967.370159152,320,0
70,13793,967.372156113,967.372157233,320,0
71,13793,967.374220981,967.374222389,320,0
72,13793,967.376248087,967.376249719,320,0
73,13793,967.378158838,967.378160726,320,0
74,13793,967.380154839,967.380155863,320,0
75,13793,967.382156824,967.382158200,320,0
76,13793,967.384439459,967.384442371,320,0
77,13793,967.386309856,967.386311840,320,0
78,13793,967.388161277,967.388164509,320,0
79,13793,967.390178495,967.390181567,320,0
80,13793,967.392166816,967.392169760,320,0
81,13793,967.394432714,967.394435018,320,0
82,13793,967.396670611,967.396719829,320,1
83,13793,967.399492624,967.399495888,320,0
84,13793,967.400161702,967.400164262,320,0
85,13793,967.402158343,967.402160583,320,0
86,13793,967.404360239,967.404362927,320,0
87,13793,967.406334288,967.406337200,320,0
88,13793,967.408199533,967.408202189,320,0
89,13793,967.410158061,967.410159597,320,0
90,13793,967.412157230,967.412158958,320,0
91,13793,967.414237650,967.414239059,320,0
92,13793,967.416656194,967.416659266,320,0
93,13793,967.418209908,967.418212533,320,0
94,13793,967.420154516,967.420156084,320,0
95,13793,967.422166134,967.422167318,320,0
96,13793,967.424169112,967.424170296,320,0
97,13793,967.426387360,967.426389920,320,0
98,13793,967.428888178,967.428943988,320,1
99,13793,967.430370018,967.430371715,320,0
100,13793,967.432168189,967.432171229,320,0
101,13793,967.434936472,967.434940120,320,0
102,13793,967.436287876,967.436291076,320,0
103,13793,967.438167650,967.438169826,320,0
104,13793,967.440166787,967.440170051,320,0
105,13793,967.442155492,967.442156388,320,0
106,13793,967.444156230,967.444157606,320,0
107,13793,967.446160551,967.446163047,320,0
108,13793,967.448162121,967.448164489,320,0
109,13793,967.450162154,967.450164586,320,0
110,13793,967.452157611,967.452159019,320,0
111,13793,967.454168301,967.454169709,320,0
112,13793,967.456160078,967.456161710,320,0
113,13793,967.458168528,967.458171120,320,0
114,13793,967.460159825,967.460162481,320,0
115,13793,967.462172339,967.462231221,320,1
116,13793,967.464161556,967.464211990,321,1
117,13793,967.466169366,967.466171958,321,0
118,13793,967.468161079,967.468163191,321,0
119,13793,967.470157464,967.470159352,321,0
120,13793,967.472163194,967.472164698,321,0
121,13793,967.474157787,967.474159995,321,0
122,13793,967.476167965,967.476171325,321,0
123,13793,967.478158622,967.478160926,321,0
124,13793,967.480158655,967.480160767,321,0
125,13793,967.482157761,967.482159041,321,0
126,13793,967.484153058,967.484154050,321,0
127,13793,967.486160132,967.486162308,321,0
128,13793,967.488159429,967.488161605,321,0
129,13793,967.490158727,967.490160935,321,0
130,13793,967.492180105,967.492181993,321,0
131,13793,967.494156745,967.494157929,321,0
132,13793,967.496183724,967.496265518,321,1
133,13793,967.498159372,967.498161836,321,0
134,13793,967.500159086,967.500161070,321,0
135,13793,967.502158159,967.502159439,321,0
136,13793,967.504161137,967.504163217,321,0
137,13793,967.506159442,967.506161618,321,0
138,13793,967.508157971,967.508159731,321,0
139,13793,967.510159317,967.510161397,321,0
140,13793,967.512158070,967.512159414,321,0
141,13793,967.514156696,967.514157816,321,0
142,13793,967.516159193,967.516161209,321,0
143,13793,967.518161467,967.518163803,321,0
144,13793,967.520160828,967.520163036,321,0
145,13793,967.522156957,967.522158237,321,0
146,13793,967.524157759,967.524159743,321,0
147,13793,967.526211138,967.526214210,321,0
148,13793,967.528213379,967.528258085,321,1
149,13793,967.530970238,967.530975038,321,0
150,13793,967.532562642,967.532565970,321,0
151,13793,967.534160006,967.534161318,321,0
152,13793,967.536163879,967.536166600,321,0
153,13793,967.538229835,967.538232491,321,0
154,13793,967.540973733,967.540976805,321,0
155,13793,967.542166028,967.542168556,321,0
156,13793,967.544179054,967.544182318,321,0
157,13793,967.546161102,967.546163375,321,0
158,13793,967.548171792,967.548174896,321,0
159,13793,967.550169810,967.550174226,321,0
160,13793,967.552249718,967.552252758,321,0
161,13793,967.554241623,967.554244119,321,0
162,13793,967.556160086,967.556163158,321,0
163,13793,967.558160759,967.558163063,321,0
164,13793,967.560182009,967.560186329,321,0
165,13793,967.562186235,967.562246077,321,1
166,13793,967.564166011,967.564198749,322,1
167,13793,967.566164989,967.566167485,322,0
168,13793,967.568159806,967.568161790,322,0
169,13793,967.570157407,967.570158592,322,0
170,13793,967.572160161,967.572162401,322,0
171,13793,967.574159138,967.574160546,322,0
172,13793,967.576161188,967.576162980,322,0
173,13793,967.578159781,967.578161477,322,0
174,13793,967.580156071,967.580157031,322,0
175,13793,967.582159080,967.582161000,322,0
176,13793,967.584160458,967.584162922,322,0
177,13793,967.586163019,967.586165515,322,0
178,13793,967.588171725,967.588173901,322,0
179,13793,967.590157838,967.590159630,322,0
180,13793,967.592160143,967.592162159,322,0
181,13793,967.594157905,967.594159057,322,0
182,13793,967.596162418,967.596212948,322,1
183,13793,967.598161364,967.598163316,322,0
184,13793,967.600169525,967.600171285,322,0
185,13793,967.602159286,967.602169783,322,0
186,13793,967.604165240,967.604167256,322,0
187,13793,967.606162873,967.606165689,322,0
188,13793,967.608206076,967.608209148,322,0
189,13793,967.610157980,967.610159484,322,0
190,13793,967.612158045,967.612160350,322,0
191,13793,967.614156639,967.614157759,322,0
192,13793,967.616162976,967.616165569,322,0
193,13793,967.618217444,967.618220292,322,0
194,13793,967.620157091,967.620158499,322,0
195,13793,967.622160933,967.622163045,322,0
196,13793,967.624156582,967.624157862,322,0
197,13793,967.626329805,967.626332013,322,0
198,13793,967.629999685,967.630052999,322,1
199,13793,967.630173323,967.630174379,322,0
200,13793,967.632388403,967.632391123,322,0
201,13793,967.634158605,967.634160141,322,0
202,13793,967.636162447,967.636164559,322,0
203,13793,967.638682081,967.638683873,322,0
204,13793,967.640172178,967.640175378,322,0
205,13793,967.642174867,967.642177107,322,0
206,13793,967.644926637,967.644929229,322,0
207,13793,967.646645670,967.646647846,322,0
208,13793,967.648703977,967.648706601,322,0
209,13793,967.650557958,967.650560550,322,0
210,13793,967.652266814,967.652269150,322,0
211,13793,967.654156635,967.654157947,322,0
