iter,PID,start,end,instance,activation
0,11817,939.029754375,939.029757383,39,1
1,11817,939.031830700,939.031835117,39,0
2,11817,939.034429923,939.034433091,39,0
3,11817,939.037036794,939.037040154,39,0
4,11817,939.039645809,939.039648913,39,0
5,11817,939.042243399,939.042246151,39,0
6,11817,939.044863454,939.044869151,39,0
7,11817,939.047457269,939.047460853,39,0
8,11817,939.050056683,939.050059179,39,0
9,11817,939.052677443,939.052680803,39,0
10,11817,939.055269433,939.055273433,39,0
11,11817,939.057876080,939.057879664,39,0
12,11817,939.060474470,939.060477446,39,0
13,11817,939.063076253,939.063078333,39,0
14,11817,939.065685428,939.065688468,39,0
15,11817,939.068294891,939.068298571,39,0
16,11817,939.070891649,939.070894945,39,0
17,11817,939.073511032,939.073515928,39,0
18,11817,939.076098222,939.076102959,39,0
19,11817,939.078698085,939.078700581,39,0
20,11817,939.081301756,939.081304508,39,0
21,11817,939.083908274,939.083910835,39,0
22,11817,939.086513833,939.086517545,39,0
23,11817,939.089128864,939.089132448,39,0
24,11817,939.091741911,939.091747511,39,0
25,11817,939.094324941,939.094328525,39,0
26,11817,939.096946789,939.096949413,39,0
27,11817,939.099527162,939.099528187,39,0
28,11817,939.102130769,939.102131825,39,0
29,11817,939.104737448,939.104738888,39,0
30,11817,939.107343807,939.107345439,39,0
31,11817,939.109950518,939.109951606,39,0
32,11817,939.112557196,939.112559276,39,0
33,11817,939.115159587,939.115161315,39,0
34,11817,939.117763514,939.117764922,39,0
35,11817,939.120363472,939.120364624,39,0
36,11817,939.122969319,939.122970727,39,0
37,11817,939.125582270,939.125585022,39,0
38,11817,939.128202901,939.130386462,40,1
39,11817,939.130783435,939.130785419,40,0
40,11817,939.133391138,939.133393986,40,0
41,11817,939.135995609,939.135999545,40,0
42,11817,939.138593295,939.138594671,40,0
43,11817,939.141200646,939.141203622,40,0
44,11817,939.143802333,939.143803869,40,0
45,11817,939.146409811,939.146411380,40,0
46,11817,939.149019146,939.149022058,40,0
47,11817,939.151617089,939.151619361,40,0
48,11817,939.154261561,939.154267833,40,0
49,11817,939.156837967,939.156839951,40,0
50,11817,939.159430821,939.159432133,40,0
51,11817,939.162031292,939.162032988,40,0
52,11817,939.164634386,939.164635826,40,0
53,11817,939.167235241,939.167236329,40,0
54,11817,939.169842144,939.169844000,40,0
55,11817,939.172456439,939.172458455,40,0
56,11817,939.175055021,939.175056845,40,0
57,11817,939.177656292,939.177657892,40,0
58,11817,939.180260475,939.180262107,40,0
59,11817,939.182868081,939.182869777,40,0
60,11817,939.185469512,939.185471240,40,0
61,11817,939.188076927,939.188078591,40,0
62,11817,939.190697654,939.190700470,40,0
63,11817,939.193278732,939.193280236,40,0
64,11817,939.195881155,939.195882179,40,0
65,11817,939.198483481,939.198484601,40,0
66,11817,939.201089008,939.201090064,40,0
67,11817,939.203693031,939.203693991,40,0
68,11817,939.206301950,939.206303134,40,0
69,11817,939.208906644,939.208907828,40,0
70,11817,939.211506635,939.211507755,40,0
71,11817,939.214114690,939.214116194,40,0
72,11817,939.216735897,939.216739129,40,0
73,11817,939.219329071,939.219331439,40,0
74,11817,939.221928102,939.221929158,40,0
75,11817,939.224527932,939.224529085,40,0
76,11817,939.227132211,939.228921871,41,1
77,11817,939.229741642,939.229743946,41,0
78,11817,939.232338497,939.232339649,41,0
79,11817,939.234942807,939.234943703,41,0
80,11817,939.237546798,939.237547982,41,0
81,11817,939.240373996,939.240376844,41,0
82,11817,939.242781724,939.242785628,41,0
83,11817,939.245405972,939.245411316,41,0
84,11817,939.247992042,939.247995146,41,0
85,11817,939.250594400,939.250598753,41,0
86,11817,939.253200215,939.253203831,41,0
87,11817,939.255793966,939.255798478,41,0
88,11817,939.258403076,939.258405956,41,0
89,11817,939.260997147,939.261000763,41,0
90,11817,939.263607890,939.263610930,41,0
91,11817,939.266220105,939.266223881,41,0
92,11817,939.268834624,939.268838144,41,0
93,11817,939.271417078,939.271419830,41,0
94,11817,939.274031149,939.274035021,41,0
95,11817,939.276632803,939.276636772,41,0
96,11817,939.279227098,939.279229338,41,0
97,11817,939.281852337,939.281857105,41,0
98,11817,939.284455560,939.284460552,41,0
99,11817,939.287038430,939.287042046,41,0
100,11817,939.289641236,939.289644629,41,0
101,11817,939.292245003,939.292247915,41,0
102,11817,939.294850178,939.294852674,41,0
103,11817,939.297457753,939.297460825,41,0
104,11817,939.300059599,939.300062895,41,0
105,11817,939.302663526,939.302667398,41,0
106,11817,939.305272349,939.305275773,41,0
107,11817,939.307872820,939.307876308,41,0
108,11817,939.310475018,939.310477226,41,0
109,11817,939.313101506,939.313107714,41,0
110,11817,939.315695352,939.315699160,41,0
111,11817,939.318290190,939.318295023,41,0
112,11817,939.320890789,939.320893445,41,0
113,11817,939.323529693,939.323534301,41,0
114,11817,939.326106003,939.327537442,42,1
115,11817,939.328710825,939.328714217,42,0
116,11817,939.331309632,939.331311680,42,0
117,11817,939.333910710,939.333912471,42,0
118,11817,939.336537550,939.336541614,42,0
119,11817,939.339126276,939.339129348,42,0
120,11817,939.341724667,939.341727195,42,0
121,11817,939.344330993,939.344333586,42,0
122,11817,939.346945352,939.346947241,42,0
123,11817,939.349542815,939.349545791,42,0
124,11817,939.352142646,939.352144822,42,0
125,11817,939.354746124,939.354747852,42,0
126,11817,939.357369252,939.357371684,42,0
127,11817,939.359954842,939.359956890,42,0
128,11817,939.362576753,939.362580177,42,0
129,11817,939.365185512,939.365190984,42,0
130,11817,939.367771742,939.367775102,42,0
131,11817,939.370382165,939.370385653,42,0
132,11817,939.372978955,939.372981451,42,0
133,11817,939.375584258,939.375587842,42,0
134,11817,939.378189369,939.378193049,42,0
135,11817,939.380797808,939.380801296,42,0
136,11817,939.383392582,939.383395110,42,0
137,11817,939.385998461,939.386001789,42,0
138,11817,939.388599123,939.388601651,42,0
139,11817,939.391208714,939.391212906,42,0
140,11817,939.393817569,939.393820417,42,0
141,11817,939.396411415,939.396414360,42,0
142,11817,939.399014862,939.399016686,42,0
143,11817,939.401650822,939.401654214,42,0
144,11817,939.404237916,939.404240924,42,0
145,11817,939.406832658,939.406835859,42,0
146,11817,939.409443593,939.409446634,42,0
147,11817,939.412037920,939.412040128,42,0
148,11817,939.414664791,939.414667063,42,0
149,11817,939.417266382,939.417271886,42,0
150,11817,939.419875877,939.419880773,42,0
151,11817,939.422475099,939.422478363,42,0
152,11817,939.425056881,939.425059441,42,0
153,11817,939.427659720,939.429267677,43,1
154,11817,939.430273247,939.430276031,43,0
155,11817,939.432863669,939.432864917,43,0
156,11817,939.435470924,939.435472588,43,0
157,11817,939.438081155,939.438084771,43,0
158,11817,939.440678969,939.440680345,43,0
159,11817,939.443283728,939.443285232,43,0
160,11817,939.445887687,939.445889287,43,0
161,11817,939.448502782,939.448505534,43,0
162,11817,939.451105812,939.451107188,43,0
163,11817,939.453700011,939.453701355,43,0
164,11817,939.456302273,939.456303713,43,0
165,11817,939.458906808,939.458908184,43,0
166,11817,939.461511023,939.461512367,43,0
167,11817,939.464116261,939.464117733,43,0
168,11817,939.466731644,939.466734332,43,0
169,11817,939.469324467,939.469325875,43,0
170,11817,939.471932105,939.471933929,43,0
171,11817,939.474532128,939.474533504,43,0
172,11817,939.477137047,939.477138487,43,0
173,11817,939.479741741,939.479743117,43,0
174,11817,939.482345444,939.482346788,43,0
175,11817,939.484949530,939.484951003,43,0
176,11817,939.487554929,939.487556689,43,0
177,11817,939.490167400,939.490170056,43,0
178,11817,939.492762814,939.492764287,43,0
179,11817,939.495396502,939.495399286,43,0
180,11817,939.497970508,939.497971948,43,0
181,11817,939.500574562,939.500578979,43,0
182,11817,939.503178553,939.503179993,43,0
183,11817,939.505793392,939.505796912,43,0
184,11817,939.508397351,939.508399815,43,0
185,11817,939.511002877,939.511005725,43,0
186,11817,939.513599892,939.513601428,43,0
187,11817,939.516204074,939.516206123,43,0
188,11817,939.518804481,939.518805953,43,0
189,11817,939.521416344,939.521418936,43,0
190,11817,939.524014638,939.524016078,43,0
191,11817,939.526616005,939.528294813,44,1
192,11817,939.529227228,939.529230940,44,0
193,11817,939.531821522,939.531822674,44,0
194,11817,939.534425097,939.534426153,44,0
195,11817,939.537032767,939.537034304,44,0
196,11817,939.539635766,939.539637046,44,0
197,11817,939.542238189,939.542239213,44,0
198,11817,939.544840963,939.544842115,44,0
199,11817,939.547449498,939.547450938,44,0
200,11817,939.550049169,939.550050257,44,0
201,11817,939.552656071,939.552657703,44,0
202,11817,939.555257054,939.555258046,44,0
203,11817,939.557870485,939.557872245,44,0
204,11817,939.560475628,939.560477900,44,0
205,11817,939.563077698,939.563079714,44,0
206,11817,939.565677593,939.565679065,44,0
207,11817,939.568280751,939.568281999,44,0
208,11817,939.570883366,939.570884550,44,0
209,11817,939.573493629,939.573495517,44,0
210,11817,939.576095987,939.576097459,44,0
211,11817,939.578702570,939.578704714,44,0
212,11817,939.581299008,939.581300032,44,0
213,11817,939.583908759,939.583910615,44,0
214,11817,939.586524174,939.586527118,44,0
215,11817,939.589115492,939.589116836,44,0
216,11817,939.591716507,939.591717627,44,0
217,11817,939.594326546,939.594328498,44,0
