iter,PID,start,end,instance,activation
0,31766,765.239871571,765.252212478,187,1
1,31766,765.339844029,765.354374948,188,1
2,31766,765.439844611,765.451875488,189,1
3,31766,765.539841384,765.551728511,190,1
4,31766,765.639842125,765.650461935,191,1
5,31766,765.739841555,765.750507542,192,1
6,31766,765.839843064,765.850754085,193,1
7,31766,765.939841213,765.950623013,194,1
8,31766,766.039842723,766.050119093,195,1
9,31766,766.139840616,766.149986645,196,1
10,31766,766.239842349,766.250111808,197,1
11,31766,766.339841008,766.350657337,198,1
12,31766,766.439843790,766.450890048,199,1
13,31766,766.539864875,766.551153416,200,1
14,31766,766.639843880,766.650528683,201,1
15,31766,766.739855461,766.750866294,202,1
16,31766,766.839872739,766.850534789,203,1
17,31766,766.939856639,766.950781516,204,1
18,31766,767.039855612,767.051025012,205,1
19,31766,767.139868666,767.151212473,206,1
20,31766,767.239873719,767.239878615,206,0
21,31766,767.339862225,767.350773661,208,1
22,31766,767.439861254,767.439865254,208,0
23,31766,767.539858651,767.550680067,210,1
24,31766,767.639861584,767.651515803,211,1
25,31766,767.739855684,767.751226691,212,1
26,31766,767.839861241,767.850968749,213,1
27,31766,767.939868751,767.951124681,214,1
28,31766,768.039857539,768.050991960,215,1
29,31766,768.139863192,768.150812965,216,1
30,31766,768.239914447,768.250833499,217,1
31,31766,768.339850175,768.351042677,218,1
32,31766,768.439852684,768.452195123,219,1
33,31766,768.539842968,768.550745794,220,1
34,31766,768.639855557,768.654325349,221,1
35,31766,768.740130077,768.753441517,222,1
36,31766,768.839864799,768.851099671,223,1
37,31766,768.939843242,768.950841593,224,1
38,31766,769.039844375,769.050762722,225,1
39,31766,769.139842500,769.150942806,226,1
40,31766,769.239846768,769.250820958,227,1
41,31766,769.339924862,769.350955949,228,1
42,31766,769.439849600,769.450658469,229,1
43,31766,769.539843940,769.550698444,230,1
44,31766,769.639843721,769.650686000,231,1
45,31766,769.739852205,769.750775160,232,1
46,31766,769.839846034,769.850532210,233,1
47,31766,769.939845974,769.950375056,234,1
48,31766,770.039951615,770.051016144,235,1
49,31766,770.139843647,770.150696487,236,1
50,31766,770.239845092,770.250843761,237,1
51,31766,770.339853030,770.350961816,238,1
52,31766,770.439930374,770.450811342,239,1
53,31766,770.540045672,770.551617772,240,1
54,31766,770.639849596,770.651045873,241,1
55,31766,770.739846008,770.752107930,242,1
56,31766,770.839860373,770.852291198,243,1
57,31766,770.939880499,770.951508954,244,1
58,31766,771.039846542,771.051220618,245,1
59,31766,771.139845162,771.150695569,246,1
60,31766,771.239848167,771.250743727,247,1
61,31766,771.339846049,771.351077335,248,1
62,31766,771.439844566,771.450643961,249,1
63,31766,771.539855531,771.551020318,250,1
64,31766,771.639839839,771.650991057,251,1
65,31766,771.739848500,771.751265489,252,1
66,31766,771.839857481,771.851052669,253,1
67,31766,771.939850621,771.951438753,254,1
68,31766,772.039848305,772.050989987,255,1
