iter,PID,start,end,instance,activation
0,32184,772.609499937,772.621816130,0,0
1,32184,772.621918247,772.636912056,0,0
2,32184,772.636968507,772.649883574,0,0
3,32184,772.649934456,772.661508667,0,0
4,32184,772.661564509,772.672920439,0,0
5,32184,772.672998554,772.684151211,0,0
6,32184,772.684204686,772.696896831,0,0
7,32184,772.696977955,772.706886048,0,0
8,32184,772.706945635,772.727552606,0,0
9,32184,772.727617025,772.744154643,0,1
10,32184,772.744196917,772.746016769,0,1
11,32184,772.748671952,772.749397678,0,1
12,32184,772.757641414,772.759505908,0,1
13,32184,772.767686729,772.769102628,0,1
14,32184,772.777642633,772.778982016,0,1
15,32184,772.787645994,772.789264621,0,1
16,32184,772.797638123,772.799003780,0,1
17,32184,772.807940121,772.809724227,0,1
18,32184,772.817681295,772.819347925,0,1
19,32184,772.827934747,772.829342998,0,1
20,32184,772.837869114,772.839226066,0,1
21,32184,772.848208425,772.849559009,0,1
22,32184,772.858128775,772.859500384,0,1
23,32184,772.867878558,772.869216950,0,1
24,32184,772.877667478,772.879133491,0,1
25,32184,772.888174541,772.889754671,0,1
26,32184,772.898967183,772.899682957,0,1
27,32184,772.908271443,772.909598347,0,1
28,32184,772.917876324,772.919126584,0,1
29,32184,772.928228148,772.929591373,0,1
30,32184,772.937992363,772.939171709,0,1
31,32184,772.948138771,772.949362438,0,1
32,32184,772.957649344,772.958942357,0,1
33,32184,772.967957614,772.969302214,0,1
34,32184,772.977638754,772.979069405,0,1
35,32184,772.987641731,772.988945593,0,1
36,32184,772.997652613,772.999109345,0,1
37,32184,773.007636709,773.008954460,0,1
38,32184,773.017669544,773.018945789,0,1
39,32184,773.027645288,773.029022178,0,1
40,32184,773.037656554,773.038915870,0,1
41,32184,773.047682444,773.049016932,0,1
42,32184,773.057655308,773.058993380,0,1
43,32184,773.067648429,773.068959524,0,1
44,32184,773.077640398,773.078982182,0,1
45,32184,773.088078370,773.089393113,0,1
46,32184,773.097634449,773.098221577,0,1
47,32184,773.107658259,773.109224852,0,1
48,32184,773.117648084,773.118835621,0,1
49,32184,773.127879359,773.129491394,0,1
50,32184,773.137648118,773.139102195,0,1
51,32184,773.148078185,773.149268027,0,1
52,32184,773.157651705,773.159011666,0,1
53,32184,773.168060715,773.169278398,0,1
54,32184,773.177662524,773.179064726,0,1
55,32184,773.187654717,773.189641072,0,1
56,32184,773.197657246,773.198234998,0,1
57,32184,773.207639359,773.208877362,0,1
58,32184,773.217767013,773.219272740,0,1
59,32184,773.227650498,773.228890997,0,1
60,32184,773.237634498,773.239030909,0,1
61,32184,773.247678757,773.248917401,0,1
62,32184,773.257651237,773.258929595,0,1
63,32184,773.268054936,773.269210408,0,1
64,32184,773.277634759,773.278953406,0,1
65,32184,773.288070427,773.290365979,0,1
66,32184,773.297652331,773.298835164,0,1
67,32184,773.307640491,773.308957698,0,1
68,32184,773.317641804,773.318852575,0,1
69,32184,773.328060414,773.329356148,0,1
70,32184,773.338293481,773.339575710,0,1
71,32184,773.348067392,773.348566452,0,1
72,32184,773.357649327,773.358833152,0,1
73,32184,773.368090402,773.369322069,0,1
74,32184,773.377644463,773.378896484,0,1
75,32184,773.388380399,773.388961959,0,1
76,32184,773.397640528,773.398801825,0,1
77,32184,773.407635665,773.408893317,0,1
78,32184,773.417646001,773.418827043,0,1
79,32184,773.427651666,773.428840580,0,1
80,32184,773.437639570,773.438828996,0,1
81,32184,773.447711830,773.448888647,0,1
82,32184,773.457642707,773.459116209,0,1
83,32184,773.467650708,773.469389180,0,1
84,32184,773.477648820,773.478827494,0,1
85,32184,773.488073511,773.489311450,0,1
86,32184,773.497637653,773.499075697,0,1
87,32184,773.507640726,773.508937068,0,1
88,32184,773.517640150,773.518997359,0,1
89,32184,773.527641335,773.528810119,0,1
90,32184,773.537637239,773.538844681,0,1
91,32184,773.547694842,773.549043474,0,1
92,32184,773.557636344,773.558905869,0,1
93,32184,773.568637186,773.569820147,0,1
94,32184,773.578619682,773.579966714,0,1
95,32184,773.588388024,773.589548777,0,1
96,32184,773.597784256,773.599130424,0,1
97,32184,773.607647963,773.609200923,0,1
98,32184,773.617672796,773.618828460,0,1
99,32184,773.627691229,773.628962226,0,1
100,32184,773.637656956,773.638790476,0,1
101,32184,773.648593764,773.649439687,0,1
102,32184,773.657799587,773.659037847,0,1
103,32184,773.668225078,773.669415783,0,1
104,32184,773.678248279,773.679530700,0,1
105,32184,773.688238199,773.689424168,0,1
106,32184,773.698589990,773.699176831,0,1
107,32184,773.707643935,773.709224865,0,1
108,32184,773.717681921,773.718872979,0,1
109,32184,773.727640096,773.729326854,0,1
110,32184,773.737641921,773.738891797,0,1
111,32184,773.747639457,773.748802417,0,1
112,32184,773.757654594,773.758988858,0,1
113,32184,773.768065204,773.769325352,0,1
