iter,PID,start,end,instance,activation
0,32143,770.847507318,770.848974675,242,0
1,32143,770.887750027,770.888157660,243,0
2,32143,770.927547790,770.927599248,243,0
3,32143,770.967552698,770.971422076,244,0
4,32143,771.007716556,771.007723148,244,0
5,32143,771.047534384,771.047583186,244,0
6,32143,771.087529371,771.088615241,245,1
7,32143,771.127525958,771.127723183,245,0
8,32143,771.167539506,771.168887083,246,1
9,32143,771.207544446,771.207551966,246,0
10,32143,771.248260103,771.248306633,246,0
11,32143,771.287538965,771.288801961,247,1
12,32143,771.327529918,771.327568288,247,0
13,32143,771.367901494,771.368715096,248,1
14,32143,771.407531535,771.407654036,248,0
15,32143,771.447673757,771.447713503,248,0
16,32143,771.488180539,771.489066912,249,1
17,32143,771.527551145,771.527557257,249,0
18,32143,771.568063430,771.568934763,250,1
19,32143,771.607748769,771.607752897,250,0
20,32143,771.647696263,771.647741769,250,0
21,32143,771.687544393,771.688528818,251,1
22,32143,771.727522704,771.727527697,251,0
23,32143,771.768058383,771.768888594,252,1
24,32143,771.807533953,771.807540194,252,0
25,32143,771.847665455,771.847668975,252,0
26,32143,771.888088169,771.888989935,253,1
27,32143,771.927981293,771.927985517,253,0
28,32143,771.968071897,771.969104164,254,1
29,32143,772.007552011,772.007560396,254,0
30,32143,772.047549811,772.047557364,254,0
31,32143,772.087566556,772.088814160,255,1
32,32143,772.127544195,772.127551364,255,0
33,32143,772.168060673,772.168955527,256,1
34,32143,772.207538004,772.207586870,256,0
35,32143,772.248073330,772.248221208,256,0
36,32143,772.287575878,772.288530222,257,1
37,32143,772.327532459,772.327538955,257,0
38,32143,772.367533392,772.368411541,258,1
39,32143,772.407597976,772.407644378,258,0
40,32143,772.448226807,772.448232119,258,0
41,32143,772.489282216,772.490168653,259,1
42,32143,772.527545381,772.527694539,259,0
43,32143,772.567956251,772.568843136,260,1
44,32143,772.607536367,772.607578864,260,0
45,32143,772.647954213,772.647960293,260,0
