iter,PID,start,end,instance,activation
0,32173,770.524204400,770.566843786,0,0
1,32173,770.566937550,770.631349720,0,0
2,32173,770.631405370,770.672872675,0,0
3,32173,770.672929573,770.718236559,0,0
4,32173,770.718273457,770.750250060,0,0
5,32173,770.750309455,770.775581137,0,1
6,32173,770.775623123,770.801864222,0,1
7,32173,770.801930049,770.816277914,0,1
8,32173,770.816345629,770.832114225,0,1
9,32173,770.832173299,770.846131996,0,1
10,32173,770.846213056,770.861030892,0,1
11,32173,770.861121392,770.870662368,0,1
12,32173,770.870731554,770.879152963,0,1
13,32173,770.879230534,770.887269335,0,1
14,32173,770.887341818,770.897156309,0,1
15,32173,770.897222328,770.909621023,0,1
16,32173,770.909680802,770.917745876,0,1
17,32173,770.917814871,770.926578086,0,1
18,32173,770.926645192,770.935464634,0,1
19,32173,770.935527997,770.944651963,0,1
20,32173,770.944727966,770.955507969,0,1
21,32173,770.955577252,770.964568381,0,1
22,32173,770.964628383,770.974534686,0,1
23,32173,770.974583744,770.984666695,0,1
24,32173,770.984734826,770.993395220,0,1
25,32173,770.993455319,771.004595817,0,1
26,32173,771.004657324,771.015241575,0,1
27,32173,771.015311018,771.034555984,0,1
28,32173,771.034624851,771.050140637,0,1
29,32173,771.050208928,771.061518970,0,1
30,32173,771.061578620,771.083181893,0,1
31,32173,771.083251848,771.099326057,0,1
32,32173,771.099399180,771.110877997,0,1
33,32173,771.110945680,771.122759583,0,1
34,32173,771.122822849,771.134936765,0,1
35,32173,771.135002560,771.143361214,0,1
36,32173,771.145072901,771.152897101,0,1
37,32173,771.155020198,771.163079832,0,1
38,32173,771.165068619,771.175317624,0,1
39,32173,771.175380571,771.184766116,0,1
40,32173,771.185098578,771.193593686,0,1
41,32173,771.195188824,771.204463581,0,1
42,32173,771.205102360,771.213537721,0,1
43,32173,771.215109403,771.223501978,0,1
44,32173,771.225082173,771.234745425,0,1
45,32173,771.235080767,771.246460316,0,1
46,32173,771.246528383,771.255657213,0,1
47,32173,771.255715776,771.264068990,0,1
48,32173,771.265020677,771.275205328,0,1
49,32173,771.275262354,771.283110619,0,1
50,32173,771.285025003,771.294700481,0,1
51,32173,771.295034159,771.303704506,0,1
52,32173,771.305028241,771.313694716,0,1
53,32173,771.315024179,771.323267308,0,1
54,32173,771.325341027,771.333952523,0,1
55,32173,771.335040312,771.344388319,0,1
56,32173,771.345149823,771.354622923,0,1
57,32173,771.355146273,771.363516767,0,1
58,32173,771.365100129,771.377507176,0,1
59,32173,771.377587083,771.385596922,0,1
60,32173,771.385672989,771.394403658,0,1
61,32173,771.395058757,771.403671182,0,1
62,32173,771.405049191,771.413261150,0,1
63,32173,771.415023112,771.424255850,0,1
64,32173,771.425019402,771.435108016,0,1
65,32173,771.435169490,771.443120703,0,1
66,32173,771.445022254,771.455074675,0,1
67,32173,771.455138453,771.463006174,0,1
68,32173,771.465036947,771.473557239,0,1
69,32173,771.475024661,771.484918898,0,1
70,32173,771.485024471,771.499375183,0,1
71,32173,771.499438993,771.509887590,0,1
72,32173,771.509974218,771.518909599,0,1
73,32173,771.519009764,771.527011794,0,1
74,32173,771.527073045,771.535409393,0,1
75,32173,771.535459411,771.544186912,0,1
76,32173,771.545027139,771.554768058,0,1
77,32173,771.555032581,771.566055090,0,1
78,32173,771.566127637,771.577070495,0,1
79,32173,771.577140194,771.587379726,0,1
80,32173,771.587447601,771.600502930,0,1
81,32173,771.600581558,771.609180381,0,1
82,32173,771.609228415,771.617462679,0,1
83,32173,771.617526010,771.627603391,0,1
84,32173,771.627670274,771.637442651,0,1
85,32173,771.637506461,771.645635921,0,1
86,32173,771.645699252,771.654777839,0,1
87,32173,771.655321510,771.663349334,0,1
88,32173,771.665536657,771.677169527,0,1
89,32173,771.677230170,771.686302133,0,1
90,32173,771.686368696,771.700307775,0,1
91,32173,771.700370721,771.713385153,0,1
92,32173,771.713454436,771.722594914,0,1
93,32173,771.722656453,771.731234924,0,1
94,32173,771.731298638,771.738281874,0,1
95,32173,771.738347285,771.746223006,0,1
96,32173,771.746293345,771.757454580,0,1
97,32173,771.757521719,771.766911583,0,1
98,32173,771.766981090,771.778129108,0,1
99,32173,771.778195703,771.787993072,0,1
100,32173,771.788156663,771.797187153,0,1
101,32173,771.797249491,771.805070682,0,1
102,32173,771.805132829,771.813019687,0,1
103,32173,771.815021402,771.824576522,0,1
104,32173,771.825024317,771.833180914,0,1
105,32173,771.835022463,771.843926131,0,1
106,32173,771.845029121,771.855053412,0,1
107,32173,771.855115143,771.863625738,0,1
108,32173,771.865027237,771.875179533,0,1
109,32173,771.875237968,771.884102562,0,1
110,32173,771.885026601,771.897467761,0,1
111,32173,771.897534836,771.909468359,0,1
112,32173,771.909523881,771.918831886,0,1
113,32173,771.918885488,771.927417717,0,1
114,32173,771.927497080,771.935683951,0,1
115,32173,771.935747313,771.944219284,0,1
116,32173,771.945024853,771.954587237,0,1
117,32173,771.955026007,771.963974477,0,1
118,32173,771.965025145,771.975521616,0,1
119,32173,771.975604372,771.986748934,0,1
120,32173,771.986814632,771.998474128,0,1
121,32173,771.998521010,772.007596429,0,1
122,32173,772.007663184,772.016122161,0,1
123,32173,772.016191252,772.026660970,0,1
124,32173,772.026734477,772.035089834,0,1
125,32173,772.035160749,772.043687218,0,1
126,32173,772.045028586,772.053964191,0,1
127,32173,772.055030252,772.063089597,0,1
128,32173,772.065033230,772.074905867,0,1
129,32173,772.075021968,772.083804927,0,1
130,32173,772.085019442,772.095832502,0,1
131,32173,772.095929338,772.105360772,0,1
132,32173,772.105435943,772.112864382,0,1
133,32173,772.115023544,772.123080841,0,1
134,32173,772.125019482,772.132843137,0,1
135,32173,772.135019676,772.146762407,0,1
136,32173,772.146817481,772.167524587,0,1
137,32173,772.167588910,772.190854138,0,1
138,32173,772.190914141,772.204193576,0,1
139,32173,772.204251434,772.216136411,0,1
140,32173,772.216195294,772.235619562,0,1
141,32173,772.235663883,772.247393974,0,1
142,32173,772.247464537,772.260266768,0,1
143,32173,772.260325074,772.270046217,0,1
144,32173,772.270101579,772.292968071,0,1
145,32173,772.293029962,772.307502151,0,1
146,32173,772.307582826,772.319798888,0,1
147,32173,772.319852587,772.332507323,0,1
148,32173,772.332564925,772.345689921,0,1
149,32173,772.345748131,772.357618899,0,1
150,32173,772.357683605,772.385884302,0,1
151,32173,772.385962353,772.401037286,0,1
152,32173,772.401095913,772.414438645,0,1
153,32173,772.414498776,772.427949609,0,1
154,32173,772.428161138,772.440662684,0,1
155,32173,772.440721854,772.453589975,0,1
156,32173,772.453641753,772.466032862,0,1
157,32173,772.466097121,772.490698851,0,1
158,32173,772.490746597,772.506180009,0,1
159,32173,772.506240652,772.518203775,0,1
160,32173,772.518259073,772.529166665,0,1
161,32173,772.529215371,772.542451891,0,1
162,32173,772.542509973,772.559091113,0,1
163,32173,772.559157836,772.597433449,0,1
164,32173,772.597491628,772.610735924,0,1
165,32173,772.610790710,772.623017429,0,1
166,32173,772.623069719,772.637743259,0,1
167,32173,772.637799677,772.650774235,0,1
168,32173,772.650830845,772.664757122,0,1
169,32173,772.664822181,772.678398651,0,1
170,32173,772.678459358,772.704188816,0,1
171,32173,772.704249362,772.715174010,0,1
172,32173,772.715235741,772.728762545,0,1
173,32173,772.728815891,772.738717456,0,1
174,32173,772.738768690,772.750750886,0,1
175,32173,772.750814281,772.760714822,0,1
176,32173,772.760767912,772.771815893,0,1
177,32173,772.771881720,772.784343424,0,1
