iter,PID,start,end,instance,activation
0,32138,770.313435188,770.339467062,0,0
1,32138,770.339583995,770.373521033,0,0
2,32138,770.373594764,770.399846295,0,0
3,32138,770.399904026,770.420625662,0,0
4,32138,770.420689408,770.450149586,0,0
5,32138,770.450210069,770.471680600,0,0
6,32138,770.471747131,770.499016561,0,0
7,32138,770.499098965,770.525451108,0,0
8,32138,770.525503750,770.547369722,0,0
9,32138,770.547425309,770.568871135,0,0
10,32138,770.568914529,770.609873428,0,0
11,32138,770.609939031,770.633822495,0,0
12,32138,770.633870465,770.655051897,0,0
13,32138,770.655109147,770.676429176,0,0
14,32138,770.676482202,770.697292706,0,0
15,32138,770.697372069,770.720343847,0,0
16,32138,770.720393866,770.736550286,0,0
17,32138,770.736604721,770.751572035,0,0
18,32138,770.751629990,770.775860445,0,0
19,32138,770.775895998,770.780369530,0,1
20,32138,770.785930659,770.788721879,0,1
21,32138,770.795938374,770.798730651,0,1
22,32138,770.805928840,770.808709021,0,1
23,32138,770.815939916,770.818650109,0,1
24,32138,770.825925742,770.829064465,0,1
25,32138,770.835928209,770.839019922,0,1
26,32138,770.845960213,770.850101954,0,1
27,32138,770.855921558,770.858741772,0,1
28,32138,770.865930265,770.868745775,0,1
29,32138,770.875928508,770.878536009,0,1
30,32138,770.885942688,770.888738357,0,1
31,32138,770.895936098,770.898540751,0,1
32,32138,770.905928357,770.908507825,0,1
33,32138,770.915926600,770.918635673,0,1
34,32138,770.925922122,770.928443700,0,1
35,32138,770.935925805,770.938434134,0,1
36,32138,770.945933872,770.948606848,0,1
37,32138,770.955922419,770.958449981,0,1
38,32138,770.965928022,770.968458464,0,1
39,32138,770.975937657,770.978511813,0,1
40,32138,770.985928380,770.988489095,0,1
41,32138,770.995925918,770.998548620,0,1
42,32138,771.005924801,771.008500941,0,1
43,32138,771.015923236,771.018433165,0,1
44,32138,771.025925927,771.028501619,0,1
45,32138,771.035922058,771.038404754,0,1
46,32138,771.046130325,771.048661151,0,1
47,32138,771.055922063,771.058469754,0,1
48,32138,771.065925298,771.068483645,0,1
49,32138,771.075940086,771.078401949,0,1
50,32138,771.085923000,771.088437601,0,1
51,32138,771.095929915,771.098432516,0,1
52,32138,771.105930398,771.108489257,0,1
53,32138,771.116075591,771.118682356,0,1
54,32138,771.125926435,771.128485551,0,1
55,32138,771.135921958,771.138479985,0,1
56,32138,771.145932617,771.148631610,0,1
57,32138,771.155925516,771.158393715,0,1
58,32138,771.165924367,771.168501819,0,1
59,32138,771.175938610,771.178542783,0,1
60,32138,771.185922356,771.188498560,0,1
61,32138,771.195925143,771.198403999,0,1
62,32138,771.205923194,771.208461668,0,1
63,32138,771.215923389,771.218459687,0,1
64,32138,771.225922176,771.228489003,0,1
65,32138,771.235921923,771.238381674,0,1
66,32138,771.245951239,771.248949764,0,1
67,32138,771.255918184,771.258408592,0,1
68,32138,771.265983310,771.268416052,0,1
69,32138,771.275961488,771.278503770,0,1
70,32138,771.285920081,771.288468604,0,1
71,32138,771.295920980,771.298463518,0,1
72,32138,771.305923319,771.308472865,0,1
73,32138,771.315934201,771.318460771,0,1
74,32138,771.325944764,771.328565162,0,1
75,32138,771.335920157,771.338714322,0,1
76,32138,771.346403891,771.349062883,0,1
77,32138,771.355921857,771.358540719,0,1
78,32138,771.365934276,771.368745209,0,1
79,32138,771.375929478,771.378708250,0,1
80,32138,771.385941256,771.388615768,0,1
81,32138,771.395923498,771.398608218,0,1
82,32138,771.405930636,771.408554874,0,1
83,32138,771.415924590,771.418623807,0,1
84,32138,771.425920368,771.428579135,0,1
85,32138,771.435944179,771.438552832,0,1
86,32138,771.446083067,771.449335107,0,1
87,32138,771.456050907,771.458675977,0,1
88,32138,771.466015068,771.469007993,0,1
89,32138,771.476076865,771.478695342,0,1
90,32138,771.485970078,771.488808213,0,1
91,32138,771.495999426,771.498742292,0,1
92,32138,771.505981219,771.508783192,0,1
93,32138,771.516048776,771.518646132,0,1
94,32138,771.526043882,771.528937859,0,1
95,32138,771.536164753,771.538824160,0,1
96,32138,771.545927881,771.549410394,0,1
97,32138,771.555924171,771.559699209,0,1
98,32138,771.565929613,771.569162420,0,1
99,32138,771.575937743,771.578642048,0,1
100,32138,771.585921393,771.588848843,0,1
101,32138,771.595923827,771.598594883,0,1
102,32138,771.605932245,771.608557187,0,1
103,32138,771.615926103,771.618801807,0,1
104,32138,771.625924153,771.628777296,0,1
105,32138,771.635923419,771.638776658,0,1
106,32138,771.646012705,771.648964604,0,1
107,32138,771.655924255,771.658522764,0,1
108,32138,771.665925697,771.669123015,0,1
109,32138,771.675937956,771.678670966,0,1
110,32138,771.685925830,771.688569300,0,1
111,32138,771.695927208,771.698558326,0,1
112,32138,771.705935850,771.708552695,0,1
113,32138,771.715926060,771.718623388,0,1
114,32138,771.725927374,771.728426646,0,1
115,32138,771.735924016,771.738480411,0,1
116,32138,771.746906875,771.751359701,0,1
117,32138,771.755945621,771.758584323,0,1
118,32138,771.766413930,771.769153597,0,1
119,32138,771.776376139,771.778950678,0,1
120,32138,771.786155748,771.788730255,0,1
121,32138,771.796041761,771.798695568,0,1
122,32138,771.806153960,771.808698098,0,1
123,32138,771.816059302,771.818574447,0,1
124,32138,771.825933923,771.828687318,0,1
125,32138,771.835923556,771.838810781,0,1
126,32138,771.846260308,771.849229360,0,1
127,32138,771.855953066,771.858710973,0,1
128,32138,771.865933515,771.868855717,0,1
129,32138,771.875939245,771.878814885,0,1
130,32138,771.885916846,771.889001263,0,1
131,32138,771.895945681,771.898649923,0,1
132,32138,771.905932147,771.908591138,0,1
133,32138,771.915925781,771.918597924,0,1
134,32138,771.925923927,771.928632648,0,1
135,32138,771.935946074,771.938520453,0,1
136,32138,771.945977405,771.949091935,0,1
