iter,PID,start,end,instance,activation
0,3466,777.754235451,777.754391265,311,1
1,3466,777.854220864,777.854376391,312,1
2,3466,777.954229767,777.954361772,313,1
3,3466,778.054223596,778.054388659,314,1
4,3466,778.154314422,778.154427163,315,1
5,3466,778.254245977,778.254398016,316,1
6,3466,778.354266077,778.354408675,317,1
7,3466,778.454228186,778.454367072,319,1
8,3466,778.554217048,778.554539685,320,1
9,3466,778.654231447,778.654261336,320,0
10,3466,778.754248374,778.754373852,321,1
11,3466,778.854434332,778.854553761,323,1
12,3466,778.954561408,778.954590241,323,0
13,3466,779.054234641,779.054347222,324,1
14,3466,779.154217135,779.154398902,325,1
15,3466,779.254237358,779.254351539,326,1
16,3466,779.354428946,779.354476084,326,0
17,3466,779.454220512,779.454358374,327,1
18,3466,779.554432128,779.554535524,329,1
19,3466,779.654413078,779.654555004,330,1
20,3466,779.754619573,779.754645014,330,0
21,3466,779.854521736,779.854641037,332,1
22,3466,779.954234195,779.954261461,332,0
23,3466,780.054274764,780.054383536,334,1
24,3466,780.154446506,780.154473195,334,0
25,3466,780.254523652,780.254634121,336,1
26,3466,780.354233772,780.354262062,336,0
27,3466,780.454230748,780.454388802,338,1
28,3466,780.554230891,780.554426131,339,1
29,3466,780.654388577,780.654514951,341,1
30,3466,780.754220458,780.754249643,341,0
31,3466,780.854510565,780.854617290,342,1
32,3466,780.954225929,780.954341006,343,1
33,3466,781.054938902,781.055042458,345,1
34,3466,781.154252809,781.154281579,345,0
35,3466,781.254229336,781.254341021,346,1
36,3466,781.354221828,781.354332169,347,1
37,3466,781.454569243,781.454607164,347,0
38,3466,781.554224725,781.554394140,349,1
39,3466,781.654257982,781.654409445,350,1
40,3466,781.754712601,781.754817374,351,1
41,3466,781.854844487,781.855067344,352,1
42,3466,781.954450367,781.954594885,353,1
43,3466,782.054225726,782.054368548,354,1
44,3466,782.154219462,782.154246215,354,0
45,3466,782.254450327,782.254581789,356,1
46,3466,782.354228499,782.354256565,356,0
47,3466,782.454221972,782.454384827,358,1
48,3466,782.554251254,782.554424061,359,1
49,3466,782.654247191,782.654355163,361,1
50,3466,782.754317531,782.754452960,362,1
51,3466,782.854221432,782.854250393,362,0
