iter,PID,start,end,instance,activation
0,3469,777.765302884,777.765408393,311,1
1,3469,777.865312459,777.865411983,312,1
2,3469,777.965650143,777.965733122,313,1
3,3469,778.065577058,778.065667334,314,1
4,3469,778.165284732,778.165373279,315,1
5,3469,778.265313667,778.265407015,316,1
6,3469,778.365292804,778.365384936,317,1
7,3469,778.465304419,778.465398023,319,1
8,3469,778.565527179,778.565620111,320,1
9,3469,778.665425573,778.665487240,320,1
10,3469,778.765554665,778.765665101,321,1
11,3469,778.865284444,778.865375680,323,1
12,3469,778.965328124,778.965390719,323,1
13,3469,779.065582693,779.065688298,324,1
14,3469,779.165726250,779.165851247,325,1
15,3469,779.265429244,779.265529440,326,1
16,3469,779.365388373,779.365452312,326,1
17,3469,779.465499025,779.465590708,327,1
18,3469,779.565294143,779.565401860,329,1
19,3469,779.665286998,779.665384826,330,1
20,3469,779.765528695,779.765598330,330,1
21,3469,779.865295524,779.865390024,332,1
22,3469,779.965429216,779.965489667,332,1
23,3469,780.065286802,780.065389590,334,1
24,3469,780.165454575,780.165518322,334,1
25,3469,780.265285951,780.265381251,336,1
26,3469,780.365476923,780.365552478,336,1
27,3469,780.465480522,780.465607376,338,1
28,3469,780.565296530,780.565437304,339,1
29,3469,780.665290690,780.665388102,341,1
30,3469,780.766012687,780.766075025,341,1
31,3469,780.865286048,780.865375364,342,1
32,3469,780.965821126,780.965947307,343,1
33,3469,781.065289728,781.065381219,345,1
34,3469,781.165363474,781.165424405,345,1
35,3469,781.265289023,781.265388163,346,1
36,3469,781.365303307,781.365409200,347,1
37,3469,781.465294003,781.465351189,347,1
38,3469,781.565297339,781.565431329,349,1
39,3469,781.665300996,781.665394471,350,1
40,3469,781.765289995,781.765391376,351,1
41,3469,781.865518365,781.865628961,352,1
42,3469,781.965305852,781.965413121,353,1
43,3469,782.065678100,782.065784504,354,1
44,3469,782.165290604,782.165354031,354,1
45,3469,782.265289076,782.265383192,356,1
46,3469,782.366050136,782.366109306,356,1
47,3469,782.465291482,782.465378941,358,1
48,3469,782.565300731,782.565395199,359,1
49,3469,782.665290107,782.665398624,361,1
50,3469,782.765291644,782.765422498,362,1
51,3469,782.865312030,782.865368736,362,1
52,3469,782.965294366,782.965412227,363,1
53,3469,783.065726641,783.065826165,364,1
54,3469,783.165300224,783.165395140,365,1
55,3469,783.265285792,783.265373220,366,1
56,3469,783.365316767,783.365422563,367,1
57,3469,783.465301528,783.465369339,367,1
58,3469,783.565830311,783.565885129,367,1
59,3469,783.665301707,783.665436529,368,1
60,3469,783.765310373,783.765416169,370,1
61,3469,783.865292862,783.865360545,370,1
62,3469,783.965566083,783.965662823,371,1
63,3469,784.065352883,784.065441143,372,1
64,3469,784.165440945,784.165528116,373,1
65,3469,784.265290660,784.265388392,374,1
66,3469,784.365287930,784.365388606,375,1
67,3469,784.465289133,784.465383216,376,1
68,3469,784.567437879,784.567528314,377,1
69,3469,784.665324051,784.665414230,378,1
70,3469,784.765304932,784.765437834,379,1
71,3469,784.865895311,784.865954673,379,1
72,3469,784.965296841,784.965387213,380,1
73,3469,785.066126845,785.066185504,380,1
74,3469,785.165287661,785.165388209,381,1
75,3469,785.265339810,785.265442502,382,1
76,3469,785.365286894,785.365387123,383,1
77,3469,785.465289498,785.465364701,383,1
78,3469,785.565295173,785.565413642,384,1
79,3469,785.665491833,785.665583900,385,1
80,3469,785.765493828,785.765591080,386,1
81,3469,785.866049734,785.866146570,387,1
82,3469,785.965292626,785.965381782,388,1
83,3469,786.065302590,786.065411330,389,1
84,3469,786.165300713,786.165437455,390,1
85,3469,786.265454363,786.265548991,391,1
86,3469,786.365527365,786.365629737,392,1
87,3469,786.465278431,786.465359427,393,1
88,3469,786.565434794,786.565539694,394,1
89,3469,786.665287720,786.665391308,395,1
90,3469,786.765298029,786.765396497,396,1
91,3469,786.865593469,786.865698017,397,1
92,3469,786.965296373,786.965391001,398,1
93,3469,787.065327739,787.065427199,399,1
94,3469,787.165933783,787.166028059,400,1
95,3469,787.265282849,787.265384357,401,1
96,3469,787.365292386,787.365396870,402,1
97,3469,787.465294079,787.465401604,403,1
98,3469,787.565334878,787.565429506,404,1
99,3469,787.665290169,787.665380733,404,1
100,3469,787.765464446,787.765562306,405,1
101,3469,787.865293940,787.865394520,406,1
102,3469,787.965367860,787.965500857,407,1
103,3469,788.065541528,788.065655037,409,1
104,3469,788.165288491,788.165440465,410,1
105,3469,788.265294056,788.265395372,411,1
106,3469,788.365285858,788.365374341,412,1
107,3469,788.465680424,788.465789004,412,1
108,3469,788.565351153,788.565444309,413,1
109,3469,788.665286692,788.665381064,414,1
110,3469,788.765307803,788.765429952,415,1
111,3469,788.868045665,788.868143813,416,1
112,3469,788.965299335,788.965356426,416,1
113,3469,789.065330879,789.065450308,417,1
114,3469,789.165349750,789.165443546,418,1
115,3469,789.265298506,789.265411150,419,1
116,3469,789.365290780,789.365392320,420,1
117,3469,789.465307500,789.465428817,421,1
118,3469,789.565392671,789.565483043,422,1
119,3469,789.665290282,789.665389390,423,1
120,3469,789.765297210,789.765397278,424,1
121,3469,789.865371692,789.865470448,425,1
122,3469,789.965307032,789.965405116,426,1
123,3469,790.065294247,790.065397675,427,1
124,3469,790.165289814,790.165407931,428,1
125,3469,790.265412843,790.265506734,429,1
126,3469,790.365314482,790.365411350,430,1
127,3469,790.465311451,790.465431616,431,1
128,3469,790.565290082,790.565349285,431,1
129,3469,790.665374414,790.665462162,432,1
130,3469,790.765301619,790.765395671,432,1
131,3469,790.865303420,790.865395328,433,1
132,3469,790.965558223,790.965670867,434,1
133,3469,791.065287916,791.065384656,435,1
134,3469,791.165332278,791.165424538,436,1
135,3469,791.265287965,791.265389825,437,1
136,3469,791.365651664,791.365709011,437,1
137,3469,791.465365574,791.465458154,438,1
138,3469,791.565279684,791.565406250,439,1
139,3469,791.665285222,791.665380810,440,1
140,3469,791.765293736,791.765392620,441,1
141,3469,791.865289066,791.865359404,441,1
142,3469,791.965978951,791.966082411,442,1
143,3469,792.065288365,792.065421586,443,1
144,3469,792.165292750,792.165390162,444,1
145,3469,792.265295984,792.265362035,444,1
146,3469,792.365347312,792.365473621,445,1
147,3469,792.465659736,792.465728634,445,1
148,3469,792.565287811,792.565422729,447,1
149,3469,792.665291358,792.665385666,447,1
150,3469,792.765315002,792.765388701,447,1
151,3469,792.865300020,792.865426777,449,1
152,3469,792.965289423,792.965384915,450,1
153,3469,793.065461648,793.065523443,450,1
154,3469,793.165309957,793.165369864,450,1
155,3469,793.266198084,793.266289543,451,1
156,3469,793.365294774,793.365356089,451,1
157,3469,793.465290890,793.465394127,453,1
158,3469,793.565318272,793.565382050,453,1
159,3469,793.665291763,793.665386903,455,1
160,3469,793.765516592,793.765612244,456,1
161,3469,793.865391103,793.865515812,457,1
162,3469,793.965300207,793.965425140,459,1
163,3469,794.065297667,794.065435177,460,1
164,3469,794.165368986,794.165461662,461,1
165,3469,794.265388111,794.265511988,462,1
166,3469,794.365293084,794.365358110,462,1
167,3469,794.465289417,794.465382285,463,1
168,3469,794.565519296,794.565613828,464,1
169,3469,794.665290372,794.665391560,465,1
170,3469,794.765482169,794.765547740,465,1
171,3469,794.865291711,794.865392771,466,1
172,3469,794.965286828,794.965377424,467,1
173,3469,795.065297274,795.065367005,467,1
174,3469,795.165296840,795.165364554,467,1
175,3469,795.265294165,795.265390905,468,1
176,3469,795.367001475,795.367062630,468,1
177,3469,795.465286629,795.465378633,469,1
178,3469,795.565287596,795.565367216,469,1
179,3469,795.665392791,795.665479355,470,1
180,3469,795.765280442,795.765405855,471,1
181,3469,795.865283265,795.865369092,471,1
182,3469,795.965303560,795.965427885,472,1
183,3469,796.065367378,796.065430068,472,1
184,3469,796.165294230,796.165397978,473,1
185,3469,796.265294012,796.265391712,475,1
186,3469,796.365390852,796.365449702,475,1
187,3469,796.465335778,796.465443430,475,1
188,3469,796.565292768,796.565387076,476,1
189,3469,796.665804789,796.665856279,476,1
190,3469,796.765280672,796.765370276,478,1
191,3469,796.865284257,796.865374052,479,1
192,3469,796.965287137,796.965376421,480,1
193,3469,797.065735572,797.065793206,480,1
194,3469,797.165298242,797.165358405,480,1
195,3469,797.265302019,797.265393766,481,1
196,3469,797.365327329,797.365437637,483,1
197,3469,797.465884785,797.465977716,485,1
198,3469,797.565289587,797.565353685,485,1
199,3469,797.665831874,797.665883108,485,1
200,3469,797.765294022,797.765395819,486,1
201,3469,797.865630990,797.865684560,486,1
202,3469,797.965285626,797.965341372,486,1
203,3469,798.065539870,798.065622561,488,1
204,3469,798.165291149,798.165384689,490,1
205,3469,798.265288039,798.265346857,490,1
206,3469,798.365288733,798.365376097,492,1
207,3469,798.465477208,798.465563836,494,1
208,3469,798.565312581,798.565436618,495,1
209,3469,798.665374619,798.665433629,495,1
210,3469,798.765287627,798.765382447,496,1
211,3469,798.865284574,798.865370625,497,1
212,3469,798.967888665,798.967945755,497,1
213,3469,799.065293605,799.065392425,497,1
214,3469,799.165285528,799.165406013,498,1
215,3469,799.265289868,799.265382671,499,1
216,3469,799.365618088,799.365738125,500,1
217,3469,799.465303081,799.465394157,501,1
218,3469,799.565291189,799.565382137,502,1
219,3469,799.665288258,799.665349797,502,1
220,3469,799.765303920,799.765394739,503,1
221,3469,799.866204929,799.866270243,503,1
222,3469,799.965544467,799.965629719,504,1
223,3469,800.065291894,800.065387130,505,1
224,3469,800.165286627,800.165383687,506,1
225,3469,800.265301776,800.265425845,507,1
226,3469,800.365294522,800.365381437,508,1
227,3469,800.465288416,800.465379044,509,1
228,3469,800.565484430,800.565553233,509,1
229,3469,800.665288685,800.665401202,510,1
230,3469,800.765293940,800.765350678,510,1
231,3469,800.865292219,800.865385406,511,1
232,3469,800.965283489,800.965374212,513,1
233,3469,801.065521713,801.065578995,513,1
234,3469,801.165286510,801.165385266,514,1
235,3469,801.265283381,801.265343351,514,1
236,3469,801.365291832,801.365397532,515,1
237,3469,801.465288088,801.465348187,515,1
238,3469,801.565396957,801.565487777,516,1
239,3469,801.665427422,801.665526626,517,1
240,3469,801.765299546,801.765398494,519,1
241,3469,801.865293786,801.865356124,519,1
242,3469,801.965497026,801.965594950,520,1
243,3469,802.065306779,802.065424063,521,1
244,3469,802.165555429,802.165621448,521,1
245,3469,802.265384862,802.265487523,522,1
246,3469,802.365932337,802.366061078,523,1
247,3469,802.465284721,802.465348308,523,1
248,3469,802.565296748,802.565426257,524,1
249,3469,802.665290726,802.665353992,524,1
250,3469,802.766679671,802.766771450,526,1
251,3469,802.865291578,802.865391390,527,1
252,3469,802.965283956,802.965398040,529,1
253,3469,803.065374769,803.065491734,530,1
254,3469,803.165287560,803.165348746,530,1
255,3469,803.265293442,803.265388358,531,1
256,3469,803.365599365,803.365653479,531,1
257,3469,803.465288621,803.465356687,531,1
258,3469,803.565296897,803.565392421,532,1
259,3469,803.665299349,803.665355927,532,1
260,3469,803.765288104,803.765384044,534,1
261,3469,803.865528517,803.865617161,535,1
262,3469,803.965302096,803.965376819,535,1
263,3469,804.065294500,804.065361863,535,1
264,3469,804.165503936,804.165597508,536,1
265,3469,804.265520212,804.265582935,536,1
266,3469,804.365289340,804.365390336,538,1
267,3469,804.465300042,804.465401742,539,1
268,3469,804.565317944,804.565417404,540,1
269,3469,804.665303718,804.665396905,540,1
270,3469,804.766256761,804.766316859,540,1
271,3469,804.865380740,804.865493960,541,1
272,3469,804.965283854,804.965374225,542,1
273,3469,805.065287132,805.065380927,543,1
274,3469,805.165311050,805.165401678,545,1
275,3469,805.265294871,805.265358746,545,1
276,3469,805.365292866,805.365379429,546,1
277,3469,805.465292873,805.465385965,547,1
278,3469,805.568469486,805.568594035,548,1
279,3469,805.665286392,805.665384124,549,1
280,3469,805.765297376,805.765372131,549,1
281,3469,805.865293224,805.865385707,551,1
282,3469,805.965291247,805.965384243,553,1
283,3469,806.065420092,806.065482590,553,1
284,3469,806.165296030,806.165394018,554,1
285,3469,806.265351208,806.265405610,554,1
286,3469,806.365512979,806.365604375,555,1
287,3469,806.465305004,806.465455218,556,1
288,3469,806.565289965,806.565351024,556,1
289,3469,806.665635772,806.665687422,556,1
290,3469,806.765942826,806.766001772,556,1
291,3469,806.865830439,806.865946060,558,1
292,3469,806.965298676,806.965362006,558,1
293,3469,807.065289621,807.065349463,558,1
294,3469,807.168046563,807.168109285,558,1
295,3469,807.266169242,807.266260190,561,1
296,3469,807.365296086,807.365392410,564,1
297,3469,807.465288657,807.465347412,564,1
298,3469,807.565288077,807.565378160,566,1
299,3469,807.665427886,807.665493072,566,1
300,3469,807.765369287,807.765461323,568,1
301,3469,807.865365250,807.865458214,569,1
302,3469,807.965934100,807.965984566,569,1
303,3469,808.065282742,808.065398107,571,1
304,3469,808.165308627,808.165399990,572,1
305,3469,808.265301262,808.265398354,573,1
306,3469,808.365284902,808.365347528,573,1
307,3469,808.466425416,808.466533036,575,1
308,3469,808.565291665,808.565389557,576,1
309,3469,808.665301287,808.665417036,577,1
310,3469,808.765288444,808.765377952,578,1
311,3469,808.865857224,808.865956812,580,1
312,3469,808.965305768,808.965399756,581,1
313,3469,809.065753487,809.065841586,582,1
314,3469,809.165286226,809.165400215,583,1
315,3469,809.265474991,809.265566131,584,1
316,3469,809.365610791,809.365698699,585,1
317,3469,809.465288746,809.465418383,586,1
318,3469,809.565303386,809.565404350,587,1
319,3469,809.665300074,809.665422031,588,1
320,3469,809.765292409,809.765382685,589,1
321,3469,809.865297097,809.865358603,589,1
322,3469,809.965282360,809.965386684,590,1
323,3469,810.065374443,810.065465775,591,1
324,3469,810.165321753,810.165436349,592,1
325,3469,810.265502031,810.265615796,593,1
326,3469,810.365708260,810.365779751,593,1
327,3469,810.466533870,810.466590800,593,1
328,3469,810.565292775,810.565390251,595,1
329,3469,810.665295153,810.665397205,597,1
330,3469,810.765375646,810.765477474,598,1
331,3469,810.865294469,810.865401385,599,1
332,3469,810.965349073,810.965454069,600,1
333,3469,811.065296248,811.065419613,601,1
334,3469,811.165406726,811.165499178,602,1
335,3469,811.265299980,811.265394544,603,1
336,3469,811.365287666,811.365379254,604,1
337,3469,811.465288918,811.465378394,605,1
338,3469,811.565323579,811.565418559,606,1
339,3469,811.665844724,811.665941240,608,1
340,3469,811.765290850,811.765362565,608,1
341,3469,811.865690486,811.865805946,609,1
342,3469,811.965298154,811.965395566,610,1
343,3469,812.065292622,812.065387826,611,1
344,3469,812.165335220,812.165433687,612,1
345,3469,812.265291702,812.265394586,613,1
346,3469,812.365295127,812.365400315,614,1
347,3469,812.465293461,812.465412634,615,1
348,3469,812.566119475,812.566221239,617,1
349,3469,812.665315538,812.665386229,617,1
350,3469,812.765301968,812.765403764,618,1
351,3469,812.865297550,812.865426963,619,1
352,3469,812.965470899,812.965575287,620,1
353,3469,813.066419574,813.066521178,621,1
354,3469,813.165289608,813.165384396,622,1
355,3469,813.265295206,813.265398442,623,1
356,3469,813.365308002,813.365407398,624,1
357,3469,813.466611117,813.466703473,626,1
358,3469,813.565295442,813.565356213,626,1
359,3469,813.665316043,813.665411183,627,1
360,3469,813.765295171,813.765393095,628,1
361,3469,813.865502180,813.865602727,629,1
362,3469,813.965486203,813.965584063,630,1
363,3469,814.065285068,814.065420113,631,1
364,3469,814.165301381,814.165401545,633,1
365,3469,814.265311998,814.265413250,634,1
366,3469,814.365290578,814.365351061,634,1
367,3469,814.465327175,814.465420042,636,1
368,3469,814.565298424,814.565365339,636,1
369,3469,814.665300683,814.665398959,637,1
370,3469,814.767154790,814.767255338,638,1
371,3469,814.865294960,814.865420629,639,1
372,3469,814.965292995,814.965382086,641,1
373,3469,815.065698565,815.065790441,642,1
374,3469,815.165296841,815.165360363,642,1
375,3469,815.265300219,815.265405311,643,1
376,3469,815.365302923,815.365425712,645,1
377,3469,815.465299864,815.465390012,645,1
378,3469,815.565485581,815.565592369,646,1
379,3469,815.665297490,815.665392822,647,1
380,3469,815.765812339,815.765907927,649,1
381,3469,815.865292396,815.865361999,649,1
382,3469,815.965423327,815.965537475,651,1
383,3469,816.065290246,816.065360553,651,1
384,3469,816.165293844,816.165408120,652,1
385,3469,816.265293953,816.265392037,654,1
386,3469,816.365288107,816.365380366,655,1
387,3469,816.465527227,816.465592222,655,1
388,3469,816.565286106,816.565401790,657,1
389,3469,816.665338691,816.665402406,657,1
390,3469,816.765289673,816.765416526,659,1
391,3469,816.865295888,816.865420693,660,1
392,3469,816.965295544,816.965362651,660,1
393,3469,817.065384163,817.065498055,661,1
394,3469,817.165285318,817.165377418,662,1
395,3469,817.265311215,817.265411827,664,1
396,3469,817.365296659,817.365392311,665,1
397,3469,817.465294613,817.465358039,665,1
398,3469,817.565295287,817.565394875,666,1
399,3469,817.665300281,817.665423390,668,1
400,3469,817.765294651,817.765412863,669,1
401,3469,817.865298813,817.865370784,669,1
402,3469,817.965295935,817.965400835,670,1
403,3469,818.065300833,818.065407045,672,1
404,3469,818.166071200,818.166165284,673,1
405,3469,818.265739126,818.265826457,674,1
406,3469,818.365294915,818.365355526,674,1
407,3469,818.465318689,818.465430821,676,1
408,3469,818.565299676,818.565393280,676,1
409,3469,818.665296473,818.665393436,678,1
410,3469,818.765362168,818.765425466,678,1
411,3469,818.865293233,818.865429527,679,1
412,3469,818.965324463,818.965413106,680,1
413,3469,819.065310155,819.065453872,681,1
414,3469,819.165290535,819.165416331,682,1
415,3469,819.265292003,819.265390567,683,1
416,3469,819.365330142,819.365420257,685,1
417,3469,819.467803156,819.467927449,686,1
418,3469,819.565291434,819.565361869,686,1
419,3469,819.665318466,819.665417926,687,1
420,3469,819.765305625,819.765398620,688,1
421,3469,819.865719008,819.865820164,689,1
422,3469,819.965304359,819.965405323,690,1
423,3469,820.065300286,820.065421666,691,1
424,3469,820.165587040,820.165717989,692,1
425,3469,820.265291147,820.265414608,693,1
426,3469,820.365291071,820.365406916,694,1
427,3469,820.465355443,820.465449271,695,1
428,3469,820.565284802,820.565431272,696,1
429,3469,820.665301012,820.665395896,697,1
430,3469,820.765385001,820.765476940,698,1
431,3469,820.865295351,820.865386042,699,1
432,3469,820.965306505,820.965448270,700,1
433,3469,821.065297178,821.065399006,701,1
434,3469,821.165445361,821.165541461,702,1
435,3469,821.265297469,821.265461507,703,1
436,3469,821.365292108,821.365391823,704,1
437,3469,821.465293432,821.465394076,705,1
438,3469,821.565289316,821.565404744,706,1
439,3469,821.665313361,821.665415381,707,1
440,3469,821.765316861,821.765425569,709,1
441,3469,821.865306793,821.865374795,709,1
442,3469,821.965292500,821.965416601,710,1
443,3469,822.065289664,822.065393892,711,1
444,3469,822.165303341,822.165395217,712,1
445,3469,822.265920817,822.266030933,713,1
446,3469,822.365297506,822.365384838,714,1
447,3469,822.465879712,822.465965027,715,1
448,3469,822.565350418,822.565438165,716,1
449,3469,822.666090613,822.666179673,717,1
450,3469,822.765292989,822.765390881,719,1
451,3469,822.865295652,822.865369991,719,1
452,3469,822.965286699,822.965383054,720,1
453,3469,823.065291666,823.065416055,721,1
454,3469,823.165291288,823.165381468,722,1
455,3469,823.265338017,823.265438565,723,1
456,3469,823.365288419,823.365380519,724,1
457,3469,823.465378824,823.465473996,725,1
458,3469,823.565304583,823.565427692,726,1
459,3469,823.665428525,823.665530001,727,1
460,3469,823.765295625,823.765397549,728,1
461,3469,823.865310444,823.865437200,730,1
462,3469,823.965299821,823.965457235,731,1
463,3469,824.065287662,824.065350128,731,1
464,3469,824.165288367,824.165379795,733,1
465,3469,824.265292369,824.265382100,734,1
466,3469,824.365474423,824.365559866,734,1
467,3469,824.465540341,824.465648953,736,1
468,3469,824.565504528,824.565563762,736,1
469,3469,824.665292868,824.665380936,737,1
470,3469,824.765338018,824.765460967,738,1
471,3469,824.865291709,824.865395713,739,1
472,3469,824.965280952,824.965415134,740,1
473,3469,825.065281493,825.065340343,740,1
