node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child,,spin rate
1,0,1,13,0.001,0.007,100,True,False,[],"[1, 2]",,10
2,1,1,11,0.028,1.942,2.6,False,False,[0],[3],,384.615384615385
3,1,2,12,0.032,120.25,4.1,False,False,[0],[4],,243.90243902439
4,2,1,9,0.021,416.01,2.4,False,False,[1],"[6, 8]",,416.666666666667
5,2,2,10,0.009,7.875,4.2,False,False,[2],[5],,238.095238095238
6,3,1,8,0.007,23.386,3.9,False,False,[4],[8],,256.410256410256
7,3,2,7,6.138,6.138,49.8,False,False,[3],[7],,20.0803212851406
8,4,1,6,0.215,1.841,9.7,False,False,[6],[9],,103.092783505155
9,4,2,5,7.65,7.65,61.7,False,False,"[3, 5]",[9],,16.2074554294976
10,5,1,4,52.46,250.12,72.5,False,False,"[7, 8]",[10],,13.7931034482759
11,6,1,3,17.022,17.022,56.3,False,False,[9],[11],,17.7619893428064
12,7,1,2,0.31,1.967,6.3,False,False,[10],[12],,158.730158730159
13,8,1,1,0.073,0.482,3,False,False,[11],[13],,333.333333333333
14,9,1,0,0.006,0.381,0.8,False,True,[12],[],,1250
