node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.04,33.0,1000,True,False,[],"[1, 2]"
2,1,1,1,0.01,28.0,1,False,False,[0],[4]
3,1,2,1,0.09,27.0,9,False,False,[0],"[3, 6, 7, 11]"
4,2,1,1,0.1,9.0,10,False,False,[2],"[8, 9, 12]"
5,2,2,1,0.11,40.0,5,False,False,[1],[5]
6,3,1,1,0.1,37.0,5,False,False,[4],[10]
7,3,2,1,0.01,6.0,3,False,False,[2],[11]
8,3,3,1,0.13,3.0,11,False,False,[2],[10]
9,3,4,1,0.11,28.0,10,False,False,[3],[12]
10,4,1,1,0.02,32.0,4,False,False,[3],[11]
11,4,2,1,0.1,32.0,5,False,False,"[7, 5]",[12]
12,5,1,1,0.12,3.0,11,False,False,"[2, 6, 9]",[13]
13,5,2,1,0.07,36.0,4,False,False,"[3, 8, 10]",[13]
14,6,1,1,0.12,36.0,5,False,True,"[11, 12]",[]
