node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,1,0.04,15.0,1000,True,False,[],"[1, 2, 3]"
2,1,1,1,0.15,16.0,100,False,False,[0],[6]
3,1,2,1,0.1,11.0,100,False,False,[0],[12]
4,1,3,1,0.08,24.0,100,False,False,[0],"[4, 5, 12]"
5,2,1,1,0.03,40.0,100,False,False,[3],[8]
6,2,2,1,0.01,21.0,100,False,False,[3],[7]
7,2,3,1,0.04,8.0,100,False,False,[1],"[8, 9]"
8,3,1,1,0.08,23.0,100,False,False,[5],[12]
9,3,2,1,0.02,37.0,100,False,False,"[6, 4]","[10, 11]"
10,4,1,1,0.09,7.0,100,False,False,[6],[11]
11,4,2,1,0.13,37.0,100,False,False,[8],"[11, 12]"
12,5,1,1,0.12,2.0,100,False,False,"[8, 9, 10]",[13]
13,5,2,1,0.06,27.0,100,False,False,"[2, 3, 7, 10]",[13]
14,6,1,1,0.05,23.0,100,False,True,"[11, 12]",[]
