node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,0,0.09,30.0,1000.0,True,False,[],[1]
2,1,1,1,0.09,24.0,2.5,False,False,[0],"[2, 3, 4]"
3,2,1,2,0.21,31.0,6.7,False,False,[1],"[5, 6, 9]"
4,2,2,4,0.25,22.0,8.5,False,False,[1],"[9, 6]"
5,2,3,3,0.13,30.0,2.6,False,False,[1],[6]
6,3,1,6,0.26,8.0,8.7,False,False,[2],[8]
7,3,2,5,0.16,23.0,2.4,False,False,"[2, 3, 4]",[7]
8,4,1,8,0.05,27.0,1.7,False,False,[6],[8]
9,5,1,9,0.05,2.0,1.6,False,False,"[5, 7]",[10]
10,5,2,7,0.06,17.0,3.2,False,False,"[2, 3]",[10]
11,6,1,10,0.12,9.0,2.4,False,True,"[8, 9]",[]
