node_number,level,idx,priority,d_exec_t,c_exec_t,period,isSource,isSink,parent,child
1,0,1,7,0.28,8.0,1000,True,False,[],"[1, 2]"
2,1,1,21,0.07,14.0,100,False,False,[0],"[5, 9, 10]"
3,1,2,6,0.14,15.0,100,False,False,[0],"[3, 4, 6, 11]"
4,2,1,20,0.13,15.0,100,False,False,[2],"[12, 18]"
5,2,2,5,0.15,21.0,100,False,False,[2],"[7, 8, 10, 13]"
6,2,3,19,0.2,37.0,100,False,False,[1],[10]
7,2,4,18,0.21,29.0,100,False,False,[2],[16]
8,3,1,17,0.01,35.0,100,False,False,[4],[20]
9,3,2,4,0.1,18.0,100,False,False,[4],[14]
10,4,1,16,0.16,2.0,100,False,False,[1],[19]
11,4,2,15,0.13,11.0,100,False,False,"[1, 4, 5]","[15, 17]"
12,4,3,14,0.07,16.0,100,False,False,[2],[16]
13,4,4,13,0.02,28.0,100,False,False,[3],"[20, 19]"
14,5,1,12,0.3,8.0,100,False,False,[4],[17]
15,5,2,3,0.19,35.0,100,False,False,[8],[18]
16,5,3,11,0.25,28.0,100,False,False,[10],[19]
17,5,4,10,0.27,15.0,100,False,False,"[6, 11]",[18]
18,6,1,9,0.19,5.0,100,False,False,"[10, 13]",[19]
19,6,2,2,0.1,10.0,100,False,False,"[3, 14, 16]",[19]
20,7,1,1,0.15,1.0,100,False,False,"[9, 17, 12, 15, 18]",[21]
21,7,2,8,0.29,9.0,100,False,False,"[7, 12]",[21]
22,8,1,0,0.26,17.0,100,False,True,"[19, 20]",[]
